Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Shaedon Sharpe,2022-23,Regular,Sun 4/9,vsGS,L157-101,28.0,7-18,38.9,2-8,25.0,2-2,100.0,7.0,4.0,0.0,1.0,0.0,5.0,18.0,2.0,8.0
Shaedon Sharpe,2022-23,Regular,Sat 4/8,@LAC,L136-125,37.0,10-20,50.0,3-9,33.3,3-4,75.0,4.0,4.0,0.0,2.0,0.0,3.0,26.0,3.0,9.0
Shaedon Sharpe,2022-23,Regular,Tue 4/4,@MEM,L119-109,29.0,8-18,44.4,2-8,25.0,2-4,50.0,8.0,6.0,0.0,0.0,2.0,1.0,20.0,2.0,8.0
Shaedon Sharpe,2022-23,Regular,Sun 4/2,@MIN,W107-105,35.0,9-19,47.4,2-7,28.6,7-9,77.8,6.0,6.0,0.0,0.0,3.0,1.0,27.0,2.0,7.0
Shaedon Sharpe,2022-23,Regular,Fri 3/31,vsSAC,L138-114,37.0,10-20,50.0,4-10,40.0,3-4,75.0,3.0,5.0,2.0,1.0,1.0,6.0,27.0,4.0,10.0
Shaedon Sharpe,2022-23,Regular,Wed 3/29,vsSAC,L120-80,45.0,10-27,37.0,6-13,46.2,4-4,100.0,7.0,7.0,1.0,0.0,2.0,3.0,30.0,6.0,13.0
Shaedon Sharpe,2022-23,Regular,Mon 3/27,vsNO,L124-90,35.0,5-13,38.5,1-4,25.0,1-1,100.0,8.0,1.0,0.0,1.0,4.0,2.0,12.0,1.0,4.0
Shaedon Sharpe,2022-23,Regular,Sun 3/26,vsOKC,L118-112,35.0,9-13,69.2,3-5,60.0,8-11,72.7,5.0,3.0,0.0,0.0,3.0,5.0,29.0,3.0,5.0
Shaedon Sharpe,2022-23,Regular,Fri 3/24,vsCHI,L124-96,38.0,9-20,45.0,4-11,36.4,2-2,100.0,4.0,2.0,1.0,0.0,1.0,3.0,24.0,4.0,11.0
Shaedon Sharpe,2022-23,Regular,Wed 3/22,@UTAH,W127-115,40.0,9-19,47.4,4-7,57.1,2-3,66.7,9.0,3.0,0.0,4.0,5.0,1.0,24.0,4.0,7.0
Shaedon Sharpe,2022-23,Regular,Sun 3/19,vsLAC,L117-102,24.0,4-6,66.7,2-4,50.0,0-0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,10.0,2.0,4.0
Shaedon Sharpe,2022-23,Regular,Fri 3/17,vsBOS,L126-112,17.0,3-5,60.0,0-1,0.0,1-1,100.0,2.0,2.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0
Shaedon Sharpe,2022-23,Regular,Tue 3/14,vsNY,L123-107,7.0,2-5,40.0,2-4,50.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,4.0
Shaedon Sharpe,2022-23,Regular,Sun 3/12,@NO,L127-110,22.0,5-7,71.4,2-3,66.7,2-3,66.7,4.0,3.0,0.0,0.0,2.0,4.0,14.0,2.0,3.0
Shaedon Sharpe,2022-23,Regular,Fri 3/10,@PHI,L120-119,17.0,0-0,0.0,0-0,0.0,1-2,50.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
Shaedon Sharpe,2022-23,Regular,Wed 3/8,@BOS,L115-93,25.0,4-8,50.0,3-6,50.0,1-3,33.3,1.0,1.0,0.0,1.0,2.0,1.0,12.0,3.0,6.0
Shaedon Sharpe,2022-23,Regular,Mon 3/6,@DET,W110-104,21.0,2-2,100.0,0-0,0.0,2-2,100.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0
Shaedon Sharpe,2022-23,Regular,Sun 3/5,@ORL,W122-119,20.0,3-6,50.0,2-5,40.0,0-0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,8.0,2.0,5.0
Shaedon Sharpe,2022-23,Regular,Fri 3/3,@ATL,L129-111,28.0,3-8,37.5,1-5,20.0,2-2,100.0,4.0,4.0,0.0,1.0,2.0,0.0,9.0,1.0,5.0
Shaedon Sharpe,2022-23,Regular,Wed 3/1,vsNO,L121-110,14.0,1-6,16.7,0-2,0.0,0-0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0
Shaedon Sharpe,2022-23,Regular,Tue 2/28,@GS,L123-105,31.0,6-11,54.5,1-4,25.0,0-0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,4.0
Shaedon Sharpe,2022-23,Regular,Sun 2/26,vsHOU,W131-114,13.0,2-5,40.0,0-2,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0
Shaedon Sharpe,2022-23,Regular,Thu 2/23,@SAC,L133-116,22.0,4-14,28.6,1-5,20.0,0-0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,9.0,1.0,5.0
Shaedon Sharpe,2022-23,Regular,Tue 2/14,vsWSH,L126-101,28.0,5-9,55.6,2-5,40.0,2-2,100.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,2.0,5.0
Shaedon Sharpe,2022-23,Regular,Mon 2/13,vsLAL,W127-115,26.0,6-10,60.0,3-5,60.0,0-0,0.0,5.0,4.0,0.0,3.0,2.0,0.0,15.0,3.0,5.0
Shaedon Sharpe,2022-23,Regular,Fri 2/10,vsOKC,L138-129,29.0,5-8,62.5,3-4,75.0,0-0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,13.0,3.0,4.0
Shaedon Sharpe,2022-23,Regular,Wed 2/8,vsGS,W125-122,22.0,5-7,71.4,1-2,50.0,2-2,100.0,7.0,0.0,1.0,0.0,0.0,1.0,13.0,1.0,2.0
Shaedon Sharpe,2022-23,Regular,Mon 2/6,vsMIL,L127-108,24.0,0-6,0.0,0-5,0.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
Shaedon Sharpe,2022-23,Regular,Sat 2/4,@CHI,L129-121,17.0,3-6,50.0,1-3,33.3,0-0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,3.0
Shaedon Sharpe,2022-23,Regular,Fri 2/3,@WSH,W124-116,20.0,2-4,50.0,1-3,33.3,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0
Shaedon Sharpe,2022-23,Regular,Wed 2/1,@MEM,W122-112,19.0,3-6,50.0,3-5,60.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,9.0,3.0,5.0
Shaedon Sharpe,2022-23,Regular,Mon 1/30,vsATL,W129-125,24.0,4-9,44.4,1-4,25.0,1-2,50.0,4.0,1.0,1.0,0.0,4.0,2.0,10.0,1.0,4.0
Shaedon Sharpe,2022-23,Regular,Sat 1/28,vsTOR,L123-105,19.0,2-4,50.0,0-2,0.0,2-3,66.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0
Shaedon Sharpe,2022-23,Regular,Wed 1/25,vsUTAH,W134-124,18.0,2-3,66.7,1-1,100.0,0-0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0
Shaedon Sharpe,2022-23,Regular,Mon 1/23,vsSA,W147-127,27.0,8-12,66.7,3-4,75.0,0-0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,19.0,3.0,4.0
Shaedon Sharpe,2022-23,Regular,Sun 1/22,vsLAL,L121-112,17.0,1-6,16.7,0-4,0.0,2-2,100.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0
Shaedon Sharpe,2022-23,Regular,Thu 1/19,vsPHI,L105-95,21.0,1-6,16.7,0-3,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Shaedon Sharpe,2022-23,Regular,Tue 1/17,@DEN,L122-113,18.0,5-7,71.4,2-4,50.0,1-1,100.0,2.0,0.0,0.0,0.0,3.0,1.0,13.0,2.0,4.0
Shaedon Sharpe,2022-23,Regular,Sun 1/15,vsDAL,W140-123,20.0,2-4,50.0,0-2,0.0,0-0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0
