Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Shai Gilgeous Alexander,2022-23,Regular,Thu 4/6,@UTAH,W114-98,38.0,7-19,36.8,1-5,20.0,7-10,70.0,7.0,7.0,0.0,1.0,3.0,1.0,22.0,1.0,5.0
Shai Gilgeous Alexander,2022-23,Regular,Tue 4/4,@GS,L136-125,34.0,11-17,64.7,2-4,50.0,8-9,88.9,5.0,7.0,0.0,0.0,5.0,3.0,32.0,2.0,4.0
Shai Gilgeous Alexander,2022-23,Regular,Sun 4/2,vsPHX,L128-118,38.0,11-22,50.0,0-0,0.0,17-17,100.0,3.0,5.0,0.0,2.0,4.0,1.0,39.0,0.0,0.0
Shai Gilgeous Alexander,2022-23,Regular,Fri 3/31,@IND,L121-117,38.0,11-22,50.0,0-2,0.0,17-17,100.0,9.0,4.0,1.0,1.0,6.0,3.0,39.0,0.0,2.0
Shai Gilgeous Alexander,2022-23,Regular,Sun 3/26,@POR,W118-112,35.0,9-17,52.9,0-1,0.0,13-15,86.7,2.0,3.0,0.0,4.0,1.0,3.0,31.0,0.0,1.0
Shai Gilgeous Alexander,2022-23,Regular,Fri 3/24,@LAL,L116-111,36.0,9-22,40.9,1-3,33.3,8-9,88.9,5.0,8.0,1.0,1.0,4.0,2.0,27.0,1.0,3.0
Shai Gilgeous Alexander,2022-23,Regular,Thu 3/23,@LAC,L127-105,27.0,10-15,66.7,1-1,100.0,9-9,100.0,4.0,3.0,3.0,1.0,2.0,2.0,30.0,1.0,1.0
Shai Gilgeous Alexander,2022-23,Regular,Tue 3/21,@LAC,W101-100,36.0,12-25,48.0,1-4,25.0,6-7,85.7,7.0,4.0,0.0,0.0,4.0,4.0,31.0,1.0,4.0
Shai Gilgeous Alexander,2022-23,Regular,Sun 3/19,vsPHX,W124-120,35.0,12-24,50.0,0-0,0.0,16-19,84.2,5.0,4.0,0.0,1.0,2.0,3.0,40.0,0.0,0.0
Shai Gilgeous Alexander,2022-23,Regular,Thu 3/16,@TOR,L128-111,35.0,12-19,63.2,1-1,100.0,4-5,80.0,3.0,3.0,0.0,2.0,1.0,3.0,29.0,1.0,1.0
Shai Gilgeous Alexander,2022-23,Regular,Tue 3/14,vsBKN,W121-107,36.0,12-24,50.0,1-1,100.0,10-12,83.3,7.0,4.0,0.0,1.0,4.0,3.0,35.0,1.0,1.0
Shai Gilgeous Alexander,2022-23,Regular,Sat 3/11,@NO,W110-96,37.0,11-23,47.8,0-0,0.0,13-13,100.0,6.0,2.0,1.0,4.0,3.0,1.0,35.0,0.0,0.0
Shai Gilgeous Alexander,2022-23,Regular,Tue 3/7,vsGS,W137-128,36.0,14-24,58.3,2-5,40.0,3-4,75.0,3.0,6.0,0.0,2.0,4.0,4.0,33.0,2.0,5.0
Shai Gilgeous Alexander,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,37.0,10-17,58.8,1-2,50.0,17-19,89.5,7.0,4.0,1.0,3.0,4.0,4.0,38.0,1.0,2.0
Shai Gilgeous Alexander,2022-23,Regular,Thu 2/23,@UTAH,L120-119 OT,41.0,12-26,46.2,0-2,0.0,15-19,78.9,8.0,7.0,1.0,2.0,2.0,2.0,39.0,0.0,2.0
Shai Gilgeous Alexander,2022-23,Regular,Sun 2/19,vsLEB*,W184-175,10.0,4-5,80.0,1-1,100.0,0-0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0
Shai Gilgeous Alexander,2022-23,Regular,Wed 2/15,vsHOU,W133-96,29.0,8-16,50.0,0-2,0.0,13-15,86.7,2.0,6.0,2.0,0.0,3.0,1.0,29.0,0.0,2.0
