Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Steven Adams,2022-23,Regular,Sun 1/22,@PHX,L112-110,33.0,3-9,33.3,0-0,0.0,4-7,57.1,16.0,2.0,0.0,3.0,2.0,3.0,10.0,0.0,0.0
Steven Adams,2022-23,Regular,Fri 1/20,@LAL,L122-121,26.0,6-7,85.7,0-0,0.0,4-9,44.4,17.0,2.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0
Steven Adams,2022-23,Regular,Wed 1/18,vsCLE,W115-114,28.0,6-8,75.0,0-0,0.0,1-2,50.0,10.0,4.0,0.0,1.0,3.0,1.0,13.0,0.0,0.0
Steven Adams,2022-23,Regular,Mon 1/16,vsPHX,W136-106,24.0,4-5,80.0,0-0,0.0,0-0,0.0,9.0,2.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0
Steven Adams,2022-23,Regular,Sat 1/14,@IND,W130-112,22.0,4-4,100.0,0-0,0.0,2-2,100.0,9.0,2.0,1.0,0.0,3.0,3.0,10.0,0.0,0.0
Steven Adams,2022-23,Regular,Wed 1/11,vsSA,W135-129,33.0,5-7,71.4,0-0,0.0,1-2,50.0,18.0,5.0,3.0,1.0,2.0,1.0,11.0,0.0,0.0
Steven Adams,2022-23,Regular,Mon 1/9,vsSA,W121-113,28.0,5-7,71.4,0-0,0.0,3-11,27.3,15.0,4.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0
Steven Adams,2022-23,Regular,Thu 1/5,@ORL,W123-115,30.0,2-5,40.0,0-0,0.0,0-1,0.0,6.0,0.0,0.0,1.0,5.0,2.0,4.0,0.0,0.0
Steven Adams,2022-23,Regular,Wed 1/4,@CHA,W131-107,27.0,3-7,42.9,0-0,0.0,3-7,42.9,15.0,2.0,2.0,1.0,1.0,2.0,9.0,0.0,0.0
Steven Adams,2022-23,Regular,Sun 1/1,vsSAC,W118-108,35.0,5-12,41.7,0-0,0.0,1-2,50.0,23.0,3.0,2.0,1.0,4.0,4.0,11.0,0.0,0.0
Steven Adams,2022-23,Regular,Sat 12/31,vsNO,W116-101,27.0,4-6,66.7,0-0,0.0,2-6,33.3,21.0,3.0,2.0,2.0,3.0,0.0,10.0,0.0,0.0
Steven Adams,2022-23,Regular,Thu 12/29,@TOR,W119-106,32.0,7-11,63.6,0-0,0.0,0-2,0.0,17.0,3.0,0.0,1.0,1.0,2.0,14.0,0.0,0.0
Steven Adams,2022-23,Regular,Tue 12/27,vsPHX,L125-108,25.0,3-5,60.0,0-0,0.0,0-0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
Steven Adams,2022-23,Regular,Sun 12/25,@GS,L123-109,21.0,2-6,33.3,0-0,0.0,2-2,100.0,14.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0
Steven Adams,2022-23,Regular,Fri 12/23,@PHX,W125-100,22.0,3-5,60.0,0-0,0.0,0-4,0.0,11.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0
