Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Svi Mykhailiuk,2022-23,Regular,Sun 4/9,@CLE,W106-95,35.0,6-18,33.3,2-10,20.0,2-2,100.0,7.0,6.0,0.0,2.0,2.0,3.0,16.0,2.0,10.0
Svi Mykhailiuk,2022-23,Regular,Fri 4/7,vsHOU,L112-109,31.0,8-21,38.1,5-14,35.7,4-6,66.7,5.0,5.0,0.0,1.0,3.0,5.0,25.0,5.0,14.0
Svi Mykhailiuk,2022-23,Regular,Tue 4/4,vsTOR,L120-100,34.0,7-14,50.0,3-8,37.5,0-0,0.0,5.0,7.0,0.0,1.0,2.0,2.0,17.0,3.0,8.0
Svi Mykhailiuk,2022-23,Regular,Sun 4/2,vsTOR,L128-108,33.0,10-17,58.8,5-9,55.6,1-1,100.0,4.0,5.0,0.0,2.0,1.0,3.0,26.0,5.0,9.0
Svi Mykhailiuk,2022-23,Regular,Fri 3/31,vsCHI,L121-91,34.0,7-12,58.3,2-5,40.0,0-0,0.0,2.0,5.0,1.0,0.0,1.0,2.0,16.0,2.0,5.0
Svi Mykhailiuk,2022-23,Regular,Tue 3/28,@OKC,W137-134,37.0,6-13,46.2,2-5,40.0,4-6,66.7,5.0,8.0,2.0,3.0,2.0,0.0,18.0,2.0,5.0
Svi Mykhailiuk,2022-23,Regular,Sun 3/26,vsDAL,W110-104,33.0,1-7,14.3,1-4,25.0,4-4,100.0,3.0,3.0,0.0,2.0,0.0,0.0,7.0,1.0,4.0
Svi Mykhailiuk,2022-23,Regular,Fri 3/24,@DAL,W117-109,37.0,3-6,50.0,3-5,60.0,4-5,80.0,3.0,3.0,0.0,0.0,5.0,2.0,13.0,3.0,5.0
Svi Mykhailiuk,2022-23,Regular,Thu 3/23,@NO,L115-96,30.0,6-12,50.0,3-8,37.5,0-0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,15.0,3.0,8.0
Svi Mykhailiuk,2022-23,Regular,Mon 3/20,vsIND,W115-109,15.0,2-4,50.0,2-3,66.7,1-2,50.0,2.0,2.0,0.0,1.0,1.0,1.0,7.0,2.0,3.0
Svi Mykhailiuk,2022-23,Regular,Fri 3/17,vsPHI,L121-82,9.0,1-5,20.0,1-3,33.3,1-3,33.3,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0
Svi Mykhailiuk,2022-23,Regular,Tue 3/14,vsCLE,L120-104,7.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0
Svi Mykhailiuk,2022-23,Regular,Sun 3/12,vsCLE,L114-108,20.0,4-8,50.0,1-2,50.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,2.0
Svi Mykhailiuk,2022-23,Regular,Sat 3/11,vsUTAH,L119-111,9.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
Svi Mykhailiuk,2022-23,Regular,Thu 3/9,@DET,W113-103,8.0,1-2,50.0,1-1,100.0,1-2,50.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
Svi Mykhailiuk,2022-23,Regular,Sun 3/5,@BKN,L102-86,10.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
