Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Talen Horton Tucker,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,37.0,7-21,33.3,0-4,0.0,9-13,69.2,4.0,7.0,1.0,2.0,2.0,2.0,23.0,0.0,4.0
Talen Horton Tucker,2022-23,Regular,Sun 4/2,@BKN,L111-110,34.0,12-25,48.0,3-7,42.9,5-6,83.3,4.0,8.0,0.0,0.0,3.0,2.0,32.0,3.0,7.0
Talen Horton Tucker,2022-23,Regular,Fri 3/31,@BOS,L122-114,31.0,9-21,42.9,0-3,0.0,10-10,100.0,8.0,7.0,0.0,0.0,0.0,4.0,28.0,0.0,3.0
Talen Horton Tucker,2022-23,Regular,Wed 3/29,@SA,W128-117,30.0,15-25,60.0,6-11,54.5,5-6,83.3,4.0,5.0,0.0,1.0,2.0,4.0,41.0,6.0,11.0
Talen Horton Tucker,2022-23,Regular,Mon 3/27,vsPHX,L117-103,35.0,7-18,38.9,2-7,28.6,0-4,0.0,8.0,8.0,0.0,1.0,1.0,3.0,16.0,2.0,7.0
Talen Horton Tucker,2022-23,Regular,Sat 3/25,@SAC,L121-113,28.0,3-10,30.0,1-3,33.3,2-2,100.0,2.0,4.0,1.0,0.0,1.0,2.0,9.0,1.0,3.0
Talen Horton Tucker,2022-23,Regular,Fri 3/24,vsMIL,L144-116,26.0,5-17,29.4,0-3,0.0,3-7,42.9,5.0,8.0,0.0,1.0,1.0,4.0,13.0,0.0,3.0
Talen Horton Tucker,2022-23,Regular,Wed 3/22,vsPOR,L127-115,25.0,4-9,44.4,1-5,20.0,2-3,66.7,4.0,7.0,0.0,0.0,4.0,2.0,11.0,1.0,5.0
Talen Horton Tucker,2022-23,Regular,Mon 3/20,vsSAC,W128-120,21.0,3-9,33.3,0-2,0.0,4-4,100.0,6.0,4.0,0.0,0.0,5.0,4.0,10.0,0.0,2.0
Talen Horton Tucker,2022-23,Regular,Sat 3/18,vsBOS,W118-117,28.0,8-20,40.0,1-4,25.0,2-4,50.0,7.0,5.0,0.0,1.0,3.0,2.0,19.0,1.0,4.0
Talen Horton Tucker,2022-23,Regular,Mon 3/13,@MIA,L119-115,27.0,3-13,23.1,1-3,33.3,2-2,100.0,6.0,8.0,0.0,1.0,1.0,6.0,9.0,1.0,3.0
Talen Horton Tucker,2022-23,Regular,Sat 3/11,@CHA,W119-111,32.0,14-24,58.3,2-5,40.0,7-8,87.5,8.0,10.0,0.0,0.0,1.0,3.0,37.0,2.0,5.0
Talen Horton Tucker,2022-23,Regular,Thu 3/9,@ORL,W131-124,30.0,10-18,55.6,2-5,40.0,1-1,100.0,1.0,8.0,0.0,1.0,3.0,2.0,23.0,2.0,5.0
Talen Horton Tucker,2022-23,Regular,Tue 3/7,@DAL,L120-116,34.0,7-14,50.0,1-3,33.3,6-7,85.7,6.0,4.0,1.0,2.0,1.0,5.0,21.0,1.0,3.0
Talen Horton Tucker,2022-23,Regular,Sun 3/5,@OKC,L129-119,24.0,4-11,36.4,2-6,33.3,1-2,50.0,3.0,3.0,0.0,0.0,3.0,3.0,11.0,2.0,6.0
Talen Horton Tucker,2022-23,Regular,Fri 3/3,@OKC,L130-103,21.0,3-4,75.0,0-1,0.0,0-0,0.0,4.0,5.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0
Talen Horton Tucker,2022-23,Regular,Tue 2/28,vsSA,L102-94,30.0,7-14,50.0,2-3,66.7,0-0,0.0,3.0,3.0,3.0,1.0,0.0,7.0,16.0,2.0,3.0
Talen Horton Tucker,2022-23,Regular,Sat 2/25,vsSA,W118-102,24.0,4-9,44.4,2-3,66.7,2-2,100.0,6.0,4.0,3.0,0.0,3.0,5.0,12.0,2.0,3.0
Talen Horton Tucker,2022-23,Regular,Thu 2/23,vsOKC,W120-119 OT,35.0,2-11,18.2,1-6,16.7,4-4,100.0,7.0,6.0,1.0,2.0,5.0,4.0,9.0,1.0,6.0
Talen Horton Tucker,2022-23,Regular,Wed 2/15,@MEM,L117-111,32.0,5-15,33.3,2-5,40.0,3-5,60.0,7.0,7.0,2.0,0.0,3.0,3.0,15.0,2.0,5.0
Talen Horton Tucker,2022-23,Regular,Mon 2/13,@IND,W123-117,19.0,2-7,28.6,1-3,33.3,2-2,100.0,2.0,7.0,0.0,0.0,1.0,0.0,7.0,1.0,3.0
Talen Horton Tucker,2022-23,Regular,Sat 2/11,@NY,L126-120,27.0,8-12,66.7,1-3,33.3,6-8,75.0,2.0,7.0,1.0,1.0,2.0,1.0,23.0,1.0,3.0
