Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Terry Taylor,2022-23,Regular,Sun 4/9,vsDET,W103-81,15.0,2-3,66.7,0-0,0.0,1-2,50.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0
Terry Taylor,2022-23,Regular,Fri 4/7,@DAL,W115-112,12.0,4-4,100.0,0-0,0.0,0-2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Terry Taylor,2022-23,Regular,Fri 3/31,@CHA,W121-91,3.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Terry Taylor,2022-23,Regular,Fri 3/3,vsPHX,L125-104,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Taylor,2022-23,Regular,Fri 2/24,vsBKN,W131-87,4.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Terry Taylor,2022-23,Regular,Sun 2/5,vsCLE,L122-103,5.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Terry Taylor,2022-23,Regular,Fri 1/27,vsMIL,L141-131,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Taylor,2022-23,Regular,Wed 1/25,@ORL,L126-120,15.0,3-7,42.9,1-3,33.3,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,3.0
Terry Taylor,2022-23,Regular,Tue 1/24,vsCHI,W116-110,20.0,5-11,45.5,0-1,0.0,1-2,50.0,5.0,1.0,1.0,0.0,3.0,0.0,11.0,0.0,1.0
Terry Taylor,2022-23,Regular,Fri 1/20,@DEN,L134-111,16.0,2-2,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Terry Taylor,2022-23,Regular,Wed 1/18,@OKC,L126-106,16.0,2-3,66.7,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0
