Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Theo Maledon,2022-23,Regular,Sun 4/9,@CLE,W106-95,42.0,7-13,53.8,0-2,0.0,4-4,100.0,8.0,6.0,0.0,1.0,3.0,3.0,18.0,0.0,2.0
Theo Maledon,2022-23,Regular,Fri 4/7,vsHOU,L112-109,38.0,8-15,53.3,4-8,50.0,2-3,66.7,1.0,8.0,1.0,5.0,4.0,4.0,22.0,4.0,8.0
Theo Maledon,2022-23,Regular,Tue 4/4,vsTOR,L120-100,39.0,5-14,35.7,1-2,50.0,2-2,100.0,6.0,11.0,0.0,2.0,3.0,6.0,13.0,1.0,2.0
Theo Maledon,2022-23,Regular,Sun 4/2,vsTOR,L128-108,41.0,4-16,25.0,0-6,0.0,0-0,0.0,8.0,14.0,1.0,0.0,2.0,2.0,8.0,0.0,6.0
Theo Maledon,2022-23,Regular,Fri 3/31,vsCHI,L121-91,33.0,4-13,30.8,0-5,0.0,1-3,33.3,4.0,9.0,0.0,1.0,3.0,3.0,9.0,0.0,5.0
Theo Maledon,2022-23,Regular,Tue 3/28,@OKC,W137-134,39.0,7-15,46.7,2-5,40.0,3-4,75.0,4.0,9.0,4.0,0.0,4.0,5.0,19.0,2.0,5.0
Theo Maledon,2022-23,Regular,Sun 3/26,vsDAL,W110-104,20.0,2-7,28.6,0-3,0.0,2-2,100.0,5.0,5.0,0.0,1.0,2.0,1.0,6.0,0.0,3.0
Theo Maledon,2022-23,Regular,Fri 3/24,@DAL,W117-109,21.0,0-4,0.0,0-1,0.0,0-0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Theo Maledon,2022-23,Regular,Tue 1/24,@PHX,L128-97,19.0,3-5,60.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0
Theo Maledon,2022-23,Regular,Sat 12/31,vsBKN,L123-106,12.0,2-8,25.0,2-5,40.0,2-2,100.0,1.0,3.0,1.0,2.0,2.0,0.0,8.0,2.0,5.0
Theo Maledon,2022-23,Regular,Thu 12/29,vsOKC,W121-113,12.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Theo Maledon,2022-23,Regular,Tue 12/27,@GS,L110-105,12.0,1-2,50.0,0-1,0.0,3-4,75.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0
Theo Maledon,2022-23,Regular,Mon 12/26,@POR,L124-113,8.0,0-0,0.0,0-0,0.0,2-2,100.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
Theo Maledon,2022-23,Regular,Fri 12/23,@LAL,W134-130,11.0,2-5,40.0,1-4,25.0,2-2,100.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,4.0
Theo Maledon,2022-23,Regular,Wed 12/21,@LAC,L126-105,17.0,1-2,50.0,0-0,0.0,1-2,50.0,0.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0
Theo Maledon,2022-23,Regular,Mon 12/19,@SAC,W125-119,26.0,4-10,40.0,0-3,0.0,4-6,66.7,7.0,3.0,0.0,1.0,2.0,0.0,12.0,0.0,3.0
Theo Maledon,2022-23,Regular,Sun 12/18,@DEN,L119-115,12.0,0-3,0.0,0-3,0.0,2-2,100.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0
Theo Maledon,2022-23,Regular,Fri 12/16,vsATL,L125-106,15.0,1-5,20.0,1-3,33.3,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Theo Maledon,2022-23,Regular,Wed 12/14,vsDET,L141-134 OT,16.0,3-7,42.9,1-2,50.0,2-2,100.0,6.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0
Theo Maledon,2022-23,Regular,Sun 12/11,@PHI,L131-113,16.0,1-5,20.0,1-2,50.0,6-6,100.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,2.0
Theo Maledon,2022-23,Regular,Fri 12/9,vsNY,L121-102,26.0,3-6,50.0,0-2,0.0,2-2,100.0,6.0,3.0,0.0,0.0,2.0,1.0,8.0,0.0,2.0
Theo Maledon,2022-23,Regular,Wed 12/7,@BKN,L122-116,11.0,1-1,100.0,0-0,0.0,3-3,100.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Theo Maledon,2022-23,Regular,Mon 12/5,vsLAC,L119-117,15.0,2-7,28.6,1-2,50.0,0-0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0
Theo Maledon,2022-23,Regular,Sat 12/3,vsMIL,L105-96,19.0,2-4,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0
Theo Maledon,2022-23,Regular,Fri 12/2,vsWSH,W117-116,20.0,3-6,50.0,1-2,50.0,0-0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0
Theo Maledon,2022-23,Regular,Mon 11/28,@BOS,L140-105,39.0,4-13,30.8,1-4,25.0,2-2,100.0,4.0,8.0,0.0,3.0,0.0,5.0,11.0,1.0,4.0
Theo Maledon,2022-23,Regular,Fri 11/25,vsMIN,W110-108,26.0,4-7,57.1,1-1,100.0,5-6,83.3,7.0,3.0,0.0,1.0,1.0,1.0,14.0,1.0,1.0
Theo Maledon,2022-23,Regular,Wed 11/23,vsPHI,W107-101,16.0,2-6,33.3,0-1,0.0,0-0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0
Theo Maledon,2022-23,Regular,Fri 11/18,@CLE,L132-122 2OT,13.0,0-5,0.0,0-2,0.0,0-0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
Theo Maledon,2022-23,Regular,Wed 11/16,vsIND,L125-113,22.0,2-4,50.0,1-2,50.0,2-2,100.0,3.0,1.0,1.0,2.0,2.0,0.0,7.0,1.0,2.0
Theo Maledon,2022-23,Regular,Mon 11/14,@ORL,W112-105,25.0,4-4,100.0,2-2,100.0,4-5,80.0,3.0,3.0,0.0,2.0,4.0,1.0,14.0,2.0,2.0
Theo Maledon,2022-23,Regular,Sat 11/12,@MIA,L132-115,20.0,3-3,100.0,0-0,0.0,2-2,100.0,6.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
Theo Maledon,2022-23,Regular,Thu 11/10,@MIA,L117-112 OT,8.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Theo Maledon,2022-23,Regular,Wed 11/9,vsPOR,L105-95,11.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
Theo Maledon,2022-23,Regular,Mon 11/7,vsWSH,L108-100,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Maledon,2022-23,Regular,Sat 11/5,vsBKN,L98-94,11.0,1-3,33.3,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Theo Maledon,2022-23,Regular,Fri 11/4,@MEM,L130-99,19.0,3-5,60.0,1-2,50.0,0-0,0.0,5.0,2.0,0.0,1.0,3.0,3.0,7.0,1.0,2.0
Theo Maledon,2022-23,Regular,Wed 11/2,@CHI,L106-88,16.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
Theo Maledon,2022-23,Regular,Mon 10/31,vsSAC,L115-108,11.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0
Theo Maledon,2022-23,Regular,Sat 10/29,vsGS,W120-113 OT,16.0,2-8,25.0,1-4,25.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0
Theo Maledon,2022-23,Regular,Fri 10/28,@ORL,L113-93,21.0,3-5,60.0,2-3,66.7,0-0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,8.0,2.0,3.0
Theo Maledon,2022-23,Regular,Wed 10/26,@NY,L134-131 OT,16.0,6-7,85.7,2-2,100.0,1-1,100.0,0.0,4.0,0.0,1.0,1.0,1.0,15.0,2.0,2.0
Theo Maledon,2022-23,Regular,Sun 10/23,@ATL,W126-109,15.0,1-1,100.0,0-0,0.0,2-3,66.7,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Theo Maledon,2022-23,Regular,Wed 10/19,@SA,W129-102,4.0,0-0,0.0,0-0,0.0,2-2,100.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Theo Maledon,2022-23,Preseason,Fri 10/7,vsTOR,W116-100,7.0,2-3,66.7,1-1,100.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
