Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Tobias Harris,2022-23,Postseason,Sun 5/14,@BOS,L112-88,40.0,7-13,53.8,1-7,14.3,4-4,100.0,5.0,0.0,0.0,1.0,3.0,1.0,19.0,1.0,7.0
Tobias Harris,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,42.0,1-7,14.3,0-1,0.0,0-0,0.0,6.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
Tobias Harris,2022-23,Postseason,Tue 5/9,@BOS,W115-103,31.0,7-10,70.0,1-3,33.3,1-2,50.0,11.0,1.0,0.0,0.0,5.0,1.0,16.0,1.0,3.0
Tobias Harris,2022-23,Postseason,Sun 5/7,vsBOS,W116-115 OT,45.0,3-10,30.0,1-5,20.0,2-2,100.0,7.0,2.0,0.0,1.0,4.0,2.0,9.0,1.0,5.0
Tobias Harris,2022-23,Postseason,Fri 5/5,vsBOS,L114-102,25.0,3-6,50.0,0-1,0.0,1-2,50.0,4.0,1.0,1.0,0.0,5.0,2.0,7.0,0.0,1.0
Tobias Harris,2022-23,Postseason,Wed 5/3,@BOS,L121-87,33.0,7-12,58.3,2-5,40.0,0-0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,5.0
Tobias Harris,2022-23,Postseason,Mon 5/1,@BOS,W119-115,42.0,8-16,50.0,2-5,40.0,0-0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,18.0,2.0,5.0
Tobias Harris,2022-23,Postseason,Sat 4/22,@BKN,W96-88,37.0,11-19,57.9,2-4,50.0,1-1,100.0,12.0,1.0,1.0,1.0,2.0,0.0,25.0,2.0,4.0
Tobias Harris,2022-23,Postseason,Thu 4/20,@BKN,W102-97,36.0,6-13,46.2,2-4,50.0,1-1,100.0,7.0,1.0,0.0,0.0,1.0,1.0,15.0,2.0,4.0
Tobias Harris,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,33.0,8-14,57.1,1-3,33.3,3-3,100.0,12.0,2.0,0.0,1.0,4.0,0.0,20.0,1.0,3.0
Tobias Harris,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,29.0,9-14,64.3,3-3,100.0,0-0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,21.0,3.0,3.0
Tobias Harris,2022-23,Regular,Thu 4/6,vsMIA,L129-101,24.0,4-8,50.0,1-3,33.3,2-2,100.0,5.0,2.0,0.0,1.0,2.0,1.0,11.0,1.0,3.0
Tobias Harris,2022-23,Regular,Tue 4/4,vsBOS,W103-101,34.0,2-8,25.0,1-4,25.0,0-0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,5.0,1.0,4.0
Tobias Harris,2022-23,Regular,Sun 4/2,@MIL,L117-104,28.0,3-6,50.0,0-3,0.0,0-0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,6.0,0.0,3.0
Tobias Harris,2022-23,Regular,Wed 3/29,vsDAL,W116-108,33.0,5-7,71.4,0-2,0.0,3-3,100.0,4.0,2.0,0.0,1.0,2.0,0.0,13.0,0.0,2.0
