Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Torrey Craig,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,13.0,2-3,66.7,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0
Torrey Craig,2022-23,Postseason,Tue 5/9,@DEN,L118-102,4.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
Torrey Craig,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,3.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Torrey Craig,2022-23,Postseason,Mon 5/1,@DEN,L97-87,11.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Torrey Craig,2022-23,Postseason,Sat 4/29,@DEN,L125-107,24.0,1-3,33.3,1-2,50.0,0-0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0
Torrey Craig,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,17.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Torrey Craig,2022-23,Postseason,Sat 4/22,@LAC,W112-100,25.0,4-7,57.1,0-2,0.0,0-0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,2.0
Torrey Craig,2022-23,Postseason,Thu 4/20,@LAC,W129-124,27.0,3-5,60.0,3-4,75.0,6-6,100.0,4.0,2.0,0.0,0.0,5.0,1.0,15.0,3.0,4.0
Torrey Craig,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,32.0,6-9,66.7,5-8,62.5,0-0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,17.0,5.0,8.0
Torrey Craig,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,27.0,9-12,75.0,2-4,50.0,2-3,66.7,4.0,1.0,0.0,1.0,5.0,1.0,22.0,2.0,4.0
Torrey Craig,2022-23,Regular,Sun 4/9,vsLAC,L119-114,6.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Torrey Craig,2022-23,Regular,Fri 4/7,@LAL,L121-107,29.0,8-12,66.7,2-5,40.0,0-0,0.0,6.0,1.0,4.0,1.0,1.0,0.0,18.0,2.0,5.0
Torrey Craig,2022-23,Regular,Thu 4/6,vsDEN,W119-115,22.0,5-8,62.5,1-2,50.0,0-0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,11.0,1.0,2.0
Torrey Craig,2022-23,Regular,Tue 4/4,vsSA,W115-94,25.0,7-9,77.8,1-3,33.3,0-1,0.0,10.0,3.0,0.0,1.0,1.0,2.0,15.0,1.0,3.0
Torrey Craig,2022-23,Regular,Sun 4/2,@OKC,W128-118,12.0,3-5,60.0,1-2,50.0,1-1,100.0,1.0,1.0,1.0,1.0,5.0,0.0,8.0,1.0,2.0
Torrey Craig,2022-23,Regular,Fri 3/31,vsDEN,W100-93,16.0,1-3,33.3,1-1,100.0,0-0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
Torrey Craig,2022-23,Regular,Wed 3/29,vsMIN,W107-100,23.0,2-3,66.7,0-1,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Torrey Craig,2022-23,Regular,Mon 3/27,@UTAH,W117-103,17.0,2-6,33.3,0-2,0.0,0-0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0
Torrey Craig,2022-23,Regular,Sat 3/25,vsPHI,W125-105,19.0,2-5,40.0,2-3,66.7,0-0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0
Torrey Craig,2022-23,Regular,Fri 3/24,@SAC,L135-127,26.0,1-6,16.7,0-3,0.0,0-0,0.0,4.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,3.0
Torrey Craig,2022-23,Regular,Wed 3/22,@LAL,L122-111,27.0,5-10,50.0,4-7,57.1,0-0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,14.0,4.0,7.0
Torrey Craig,2022-23,Regular,Sun 3/19,@OKC,L124-120,31.0,2-7,28.6,1-5,20.0,2-2,100.0,7.0,3.0,4.0,0.0,3.0,3.0,7.0,1.0,5.0
Torrey Craig,2022-23,Regular,Thu 3/16,vsORL,W116-113,25.0,3-6,50.0,3-5,60.0,0-0,0.0,5.0,2.0,1.0,1.0,2.0,0.0,9.0,3.0,5.0
Torrey Craig,2022-23,Regular,Tue 3/14,vsMIL,L116-104,22.0,2-5,40.0,2-4,50.0,0-0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,6.0,2.0,4.0
Torrey Craig,2022-23,Regular,Mon 3/13,@GS,L123-112,28.0,1-4,25.0,0-3,0.0,0-0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0
Torrey Craig,2022-23,Regular,Sat 3/11,vsSAC,L128-119,28.0,1-5,20.0,0-4,0.0,2-4,50.0,8.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0
Torrey Craig,2022-23,Regular,Wed 3/8,vsOKC,W132-101,22.0,1-3,33.3,1-2,50.0,0-0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0
Torrey Craig,2022-23,Regular,Sun 3/5,@DAL,W130-126,12.0,2-5,40.0,1-4,25.0,0-0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,4.0
Torrey Craig,2022-23,Regular,Fri 3/3,@CHI,W125-104,21.0,0-4,0.0,0-4,0.0,0-0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0
Torrey Craig,2022-23,Regular,Wed 3/1,@CHA,W105-91,15.0,3-4,75.0,2-2,100.0,0-0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,8.0,2.0,2.0
Torrey Craig,2022-23,Regular,Sun 2/26,@MIL,L104-101,27.0,1-7,14.3,1-2,50.0,0-0,0.0,10.0,4.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0
Torrey Craig,2022-23,Regular,Fri 2/24,vsOKC,W124-115,23.0,3-5,60.0,1-2,50.0,0-0,0.0,7.0,1.0,1.0,1.0,2.0,0.0,7.0,1.0,2.0
Torrey Craig,2022-23,Regular,Thu 2/16,vsLAC,L116-107,27.0,2-6,33.3,2-3,66.7,0-0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,3.0
Torrey Craig,2022-23,Regular,Tue 2/14,vsSAC,W120-109,30.0,2-6,33.3,2-3,66.7,0-0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,6.0,2.0,3.0
Torrey Craig,2022-23,Regular,Fri 2/10,@IND,W117-104,36.0,5-7,71.4,1-3,33.3,0-0,0.0,12.0,3.0,1.0,0.0,2.0,2.0,11.0,1.0,3.0
Torrey Craig,2022-23,Regular,Thu 2/9,@ATL,L116-107,35.0,1-6,16.7,0-3,0.0,0-0,0.0,5.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Torrey Craig,2022-23,Regular,Tue 2/7,@BKN,W116-112,25.0,1-3,33.3,0-2,0.0,1-4,25.0,4.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0
Torrey Craig,2022-23,Regular,Sat 2/4,@DET,W116-100,28.0,5-8,62.5,4-4,100.0,0-0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,14.0,4.0,4.0
Torrey Craig,2022-23,Regular,Fri 2/3,@BOS,W106-94,19.0,1-3,33.3,0-1,0.0,0-0,0.0,5.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0
Torrey Craig,2022-23,Regular,Wed 2/1,vsATL,L132-100,23.0,3-5,60.0,1-3,33.3,0-0,0.0,8.0,1.0,1.0,2.0,2.0,3.0,7.0,1.0,3.0
Torrey Craig,2022-23,Regular,Mon 1/30,vsTOR,W114-106,26.0,1-5,20.0,0-1,0.0,0-0,0.0,8.0,4.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0
Torrey Craig,2022-23,Regular,Sat 1/28,@SA,W128-118 OT,31.0,3-7,42.9,2-3,66.7,0-0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,8.0,2.0,3.0
Torrey Craig,2022-23,Regular,Thu 1/26,vsDAL,L99-95,28.0,2-6,33.3,1-3,33.3,0-0,0.0,4.0,4.0,1.0,0.0,3.0,1.0,5.0,1.0,3.0
Torrey Craig,2022-23,Regular,Tue 1/24,vsCHA,W128-97,22.0,0-7,0.0,0-3,0.0,0-0,0.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0
Torrey Craig,2022-23,Regular,Sun 1/22,vsMEM,W112-110,32.0,7-9,77.8,4-6,66.7,2-2,100.0,4.0,0.0,2.0,2.0,3.0,1.0,20.0,4.0,6.0
Torrey Craig,2022-23,Regular,Sat 1/21,vsIND,W112-107,20.0,0-2,0.0,0-1,0.0,0-0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Torrey Craig,2022-23,Regular,Thu 1/19,vsBKN,W117-112,25.0,1-5,20.0,0-1,0.0,0-0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
