Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Trae Young,2022-23,Postseason,Thu 4/27,vsBOS,L128-120,40.0,9-28,32.1,4-12,33.3,8-8,100.0,3.0,10.0,2.0,1.0,3.0,5.0,30.0,4.0,12.0
Trae Young,2022-23,Postseason,Tue 4/25,@BOS,W119-117,44.0,14-33,42.4,5-13,38.5,5-5,100.0,4.0,13.0,0.0,2.0,4.0,4.0,38.0,5.0,13.0
Trae Young,2022-23,Postseason,Sun 4/23,vsBOS,L129-121,41.0,11-26,42.3,4-10,40.0,9-11,81.8,3.0,15.0,0.0,2.0,2.0,1.0,35.0,4.0,10.0
Trae Young,2022-23,Postseason,Fri 4/21,vsBOS,W130-122,37.0,12-22,54.5,2-6,33.3,6-6,100.0,6.0,9.0,2.0,1.0,1.0,4.0,32.0,2.0,6.0
Trae Young,2022-23,Postseason,Tue 4/18,@BOS,L119-106,34.0,9-22,40.9,2-8,25.0,4-6,66.7,3.0,6.0,0.0,2.0,0.0,5.0,24.0,2.0,8.0
Trae Young,2022-23,Postseason,Sat 4/15,@BOS,L112-99,35.0,5-18,27.8,1-5,20.0,5-7,71.4,3.0,8.0,0.0,2.0,1.0,5.0,16.0,1.0,5.0
Trae Young,2022-23,Regular,Fri 4/7,vsPHI,L136-131 OT,43.0,7-14,50.0,1-6,16.7,12-14,85.7,3.0,20.0,0.0,4.0,0.0,9.0,27.0,1.0,6.0
Trae Young,2022-23,Regular,Wed 4/5,vsWSH,W134-116,39.0,4-10,40.0,1-4,25.0,16-18,88.9,2.0,16.0,0.0,0.0,2.0,4.0,25.0,1.0,4.0
Trae Young,2022-23,Regular,Sun 4/2,vsDAL,W132-130 OT,41.0,8-24,33.3,0-5,0.0,8-8,100.0,3.0,12.0,0.0,1.0,1.0,2.0,24.0,0.0,5.0
Trae Young,2022-23,Regular,Fri 3/31,@BKN,L124-107,32.0,3-12,25.0,0-5,0.0,4-4,100.0,0.0,6.0,0.0,0.0,0.0,2.0,10.0,0.0,5.0
Trae Young,2022-23,Regular,Tue 3/28,vsCLE,W120-118,36.0,4-15,26.7,2-3,66.7,6-9,66.7,1.0,10.0,0.0,1.0,0.0,6.0,16.0,2.0,3.0
Trae Young,2022-23,Regular,Sun 3/26,vsMEM,L123-119,35.0,7-14,50.0,3-5,60.0,11-12,91.7,2.0,10.0,0.0,0.0,1.0,4.0,28.0,3.0,5.0
Trae Young,2022-23,Regular,Sat 3/25,vsIND,W143-130,21.0,6-11,54.5,0-1,0.0,2-2,100.0,3.0,5.0,0.0,1.0,1.0,3.0,14.0,0.0,1.0
Trae Young,2022-23,Regular,Wed 3/22,@MIN,L125-124,32.0,6-16,37.5,3-4,75.0,14-16,87.5,2.0,8.0,0.0,1.0,1.0,6.0,29.0,3.0,4.0
Trae Young,2022-23,Regular,Tue 3/21,vsDET,W129-107,30.0,7-19,36.8,3-9,33.3,13-15,86.7,3.0,12.0,0.0,0.0,4.0,3.0,30.0,3.0,9.0
Trae Young,2022-23,Regular,Sun 3/19,@SA,L126-118,29.0,4-15,26.7,1-4,25.0,0-2,0.0,4.0,6.0,0.0,0.0,0.0,5.0,9.0,1.0,4.0
Trae Young,2022-23,Regular,Fri 3/17,vsGS,W127-119,32.0,8-18,44.4,3-6,50.0,6-7,85.7,6.0,12.0,0.0,1.0,1.0,4.0,25.0,3.0,6.0
Trae Young,2022-23,Regular,Mon 3/13,vsMIN,L136-115,34.0,15-25,60.0,1-4,25.0,10-10,100.0,6.0,7.0,0.0,1.0,1.0,4.0,41.0,1.0,4.0
Trae Young,2022-23,Regular,Sat 3/11,vsBOS,L134-125,34.0,12-27,44.4,4-11,36.4,7-7,100.0,3.0,13.0,0.0,0.0,2.0,3.0,35.0,4.0,11.0
Trae Young,2022-23,Regular,Fri 3/10,@WSH,W114-107,33.0,9-19,47.4,6-10,60.0,4-4,100.0,2.0,9.0,0.0,2.0,2.0,3.0,28.0,6.0,10.0
Trae Young,2022-23,Regular,Wed 3/8,@WSH,W122-120,33.0,11-14,78.6,3-4,75.0,3-4,75.0,4.0,10.0,0.0,3.0,2.0,5.0,28.0,3.0,4.0
Trae Young,2022-23,Regular,Mon 3/6,@MIA,L130-128,34.0,9-17,52.9,1-5,20.0,6-8,75.0,1.0,7.0,0.0,1.0,0.0,3.0,25.0,1.0,5.0
Trae Young,2022-23,Regular,Sat 3/4,@MIA,L117-109,32.0,2-13,15.4,0-5,0.0,4-5,80.0,4.0,10.0,0.0,5.0,1.0,5.0,8.0,0.0,5.0
Trae Young,2022-23,Regular,Fri 3/3,vsPOR,W129-111,29.0,6-14,42.9,3-5,60.0,8-8,100.0,7.0,11.0,0.0,2.0,0.0,4.0,23.0,3.0,5.0
Trae Young,2022-23,Regular,Tue 2/28,vsWSH,L119-116,34.0,11-26,42.3,2-6,33.3,7-8,87.5,2.0,7.0,1.0,0.0,2.0,4.0,31.0,2.0,6.0
Trae Young,2022-23,Regular,Sun 2/26,vsBKN,W129-127,34.0,12-26,46.2,1-5,20.0,9-9,100.0,3.0,8.0,0.0,2.0,2.0,4.0,34.0,1.0,5.0
Trae Young,2022-23,Regular,Fri 2/24,vsCLE,W136-119,32.0,8-18,44.4,4-7,57.1,14-15,93.3,3.0,9.0,0.0,1.0,3.0,2.0,34.0,4.0,7.0
Trae Young,2022-23,Regular,Wed 2/15,vsNY,L122-101,32.0,4-14,28.6,1-6,16.7,10-13,76.9,1.0,11.0,0.0,4.0,0.0,1.0,19.0,1.0,6.0
Trae Young,2022-23,Regular,Mon 2/13,@CHA,L144-138,35.0,7-18,38.9,2-7,28.6,9-9,100.0,2.0,14.0,0.0,2.0,1.0,5.0,25.0,2.0,7.0
Trae Young,2022-23,Regular,Sat 2/11,vsSA,W125-106,33.0,9-19,47.4,2-5,40.0,4-4,100.0,4.0,17.0,1.0,1.0,0.0,5.0,24.0,2.0,5.0
Trae Young,2022-23,Regular,Thu 2/9,vsPHX,W116-107,38.0,10-18,55.6,5-8,62.5,11-12,91.7,7.0,12.0,0.0,2.0,2.0,9.0,36.0,5.0,8.0
Trae Young,2022-23,Regular,Tue 2/7,@NO,L116-107,36.0,4-14,28.6,2-8,25.0,6-6,100.0,3.0,16.0,0.0,1.0,4.0,4.0,16.0,2.0,8.0
Trae Young,2022-23,Regular,Fri 2/3,@UTAH,W115-108,34.0,10-19,52.6,2-8,25.0,5-7,71.4,4.0,6.0,1.0,2.0,2.0,2.0,27.0,2.0,8.0
Trae Young,2022-23,Regular,Wed 2/1,@PHX,W132-100,27.0,8-17,47.1,3-3,100.0,1-1,100.0,1.0,12.0,0.0,1.0,1.0,4.0,20.0,3.0,3.0
Trae Young,2022-23,Regular,Sat 1/28,vsLAC,L120-113,36.0,10-21,47.6,0-2,0.0,11-14,78.6,5.0,10.0,0.0,1.0,2.0,5.0,31.0,0.0,2.0
Trae Young,2022-23,Regular,Wed 1/25,@OKC,W137-132,35.0,10-20,50.0,3-6,50.0,10-11,90.9,3.0,11.0,0.0,0.0,0.0,5.0,33.0,3.0,6.0
Trae Young,2022-23,Regular,Mon 1/23,@CHI,L111-100,38.0,7-16,43.8,0-5,0.0,7-10,70.0,3.0,13.0,0.0,0.0,1.0,6.0,21.0,0.0,5.0
Trae Young,2022-23,Regular,Sat 1/21,vsCHA,L122-118,38.0,9-22,40.9,0-4,0.0,7-9,77.8,5.0,12.0,0.0,0.0,2.0,6.0,25.0,0.0,4.0
Trae Young,2022-23,Regular,Fri 1/20,vsNY,W139-124,33.0,9-21,42.9,1-7,14.3,8-8,100.0,1.0,6.0,0.0,1.0,1.0,4.0,27.0,1.0,7.0
Trae Young,2022-23,Regular,Wed 1/18,@DAL,W130-122,35.0,5-11,45.5,0-1,0.0,8-8,100.0,4.0,12.0,0.0,3.0,0.0,4.0,18.0,0.0,1.0
Trae Young,2022-23,Regular,Mon 1/16,vsMIA,W121-113,36.0,6-13,46.2,3-6,50.0,9-11,81.8,3.0,8.0,0.0,4.0,4.0,10.0,24.0,3.0,6.0
Trae Young,2022-23,Regular,Sat 1/14,@TOR,W114-103,38.0,9-17,52.9,2-5,40.0,9-9,100.0,0.0,9.0,1.0,2.0,2.0,3.0,29.0,2.0,5.0
Trae Young,2022-23,Regular,Fri 1/13,@IND,W113-111,37.0,6-16,37.5,6-10,60.0,8-9,88.9,2.0,11.0,0.0,0.0,0.0,2.0,26.0,6.0,10.0
Trae Young,2022-23,Regular,Sun 1/8,@LAC,W112-108,35.0,9-17,52.9,3-6,50.0,9-9,100.0,2.0,8.0,0.0,1.0,3.0,4.0,30.0,3.0,6.0
Trae Young,2022-23,Regular,Fri 1/6,@LAL,L130-114,34.0,12-24,50.0,2-8,25.0,6-7,85.7,5.0,9.0,0.0,3.0,2.0,6.0,32.0,2.0,8.0
Trae Young,2022-23,Regular,Wed 1/4,@SAC,W120-117,32.0,7-12,58.3,1-2,50.0,6-7,85.7,0.0,6.0,0.0,1.0,2.0,5.0,21.0,1.0,2.0
Trae Young,2022-23,Regular,Mon 1/2,@GS,L143-141 2OT,44.0,8-22,36.4,3-10,30.0,11-13,84.6,7.0,14.0,0.0,1.0,2.0,4.0,30.0,3.0,10.0
Trae Young,2022-23,Regular,Fri 12/30,vsLAL,L130-121,36.0,11-24,45.8,0-4,0.0,7-9,77.8,3.0,8.0,0.0,1.0,4.0,4.0,29.0,0.0,4.0
Trae Young,2022-23,Regular,Tue 12/27,@IND,L129-114,34.0,5-15,33.3,3-6,50.0,9-10,90.0,3.0,10.0,1.0,0.0,1.0,4.0,22.0,3.0,6.0
Trae Young,2022-23,Regular,Fri 12/23,vsDET,W130-105,31.0,9-15,60.0,3-7,42.9,5-8,62.5,2.0,13.0,0.0,2.0,0.0,1.0,26.0,3.0,7.0
Trae Young,2022-23,Regular,Wed 12/21,vsCHI,L110-108,38.0,9-24,37.5,7-14,50.0,9-9,100.0,6.0,6.0,0.0,1.0,1.0,5.0,34.0,7.0,14.0
Trae Young,2022-23,Regular,Mon 12/19,vsORL,W126-125,36.0,11-22,50.0,3-7,42.9,12-12,100.0,3.0,13.0,0.0,0.0,1.0,4.0,37.0,3.0,7.0
