Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Tre Jones,2022-23,Regular,Sun 4/9,@DAL,W138-117,23.0,6-9,66.7,1-2,50.0,0-0,0.0,3.0,8.0,0.0,0.0,1.0,1.0,13.0,1.0,2.0
Tre Jones,2022-23,Regular,Sat 4/8,vsMIN,L151-131,32.0,9-14,64.3,1-3,33.3,2-4,50.0,10.0,12.0,0.0,0.0,1.0,1.0,21.0,1.0,3.0
Tre Jones,2022-23,Regular,Thu 4/6,vsPOR,W129-127,31.0,5-11,45.5,1-3,33.3,7-7,100.0,4.0,10.0,0.0,1.0,0.0,2.0,18.0,1.0,3.0
Tre Jones,2022-23,Regular,Tue 4/4,@PHX,L115-94,29.0,7-12,58.3,2-3,66.7,4-4,100.0,3.0,9.0,0.0,1.0,1.0,3.0,20.0,2.0,3.0
Tre Jones,2022-23,Regular,Sun 4/2,@SAC,W142-134 OT,33.0,7-11,63.6,0-0,0.0,3-3,100.0,10.0,11.0,0.0,1.0,1.0,1.0,17.0,0.0,0.0
Tre Jones,2022-23,Regular,Fri 3/31,@GS,L130-115,30.0,3-7,42.9,1-2,50.0,3-4,75.0,2.0,6.0,0.0,1.0,1.0,1.0,10.0,1.0,2.0
Tre Jones,2022-23,Regular,Wed 3/29,vsUTAH,L128-117,28.0,8-12,66.7,1-2,50.0,0-1,0.0,1.0,6.0,0.0,3.0,4.0,2.0,17.0,1.0,2.0
Tre Jones,2022-23,Regular,Sun 3/26,@BOS,L137-93,26.0,4-9,44.4,1-1,100.0,2-3,66.7,5.0,4.0,0.0,3.0,2.0,1.0,11.0,1.0,1.0
Tre Jones,2022-23,Regular,Fri 3/24,@WSH,L136-124,29.0,5-9,55.6,0-1,0.0,0-0,0.0,2.0,12.0,0.0,2.0,3.0,0.0,10.0,0.0,1.0
Tre Jones,2022-23,Regular,Tue 3/21,@NO,L119-84,32.0,7-13,53.8,1-3,33.3,0-1,0.0,5.0,8.0,0.0,1.0,1.0,2.0,15.0,1.0,3.0
