Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Trendon Watford,2022-23,Regular,Sun 4/9,vsGS,L157-101,20.0,4-8,50.0,1-1,100.0,2-4,50.0,4.0,4.0,1.0,0.0,1.0,3.0,11.0,1.0,1.0
Trendon Watford,2022-23,Regular,Sat 4/8,@LAC,L136-125,26.0,10-15,66.7,2-3,66.7,2-2,100.0,2.0,3.0,1.0,0.0,3.0,0.0,24.0,2.0,3.0
Trendon Watford,2022-23,Regular,Thu 4/6,@SA,L129-127,20.0,7-12,58.3,0-1,0.0,2-2,100.0,6.0,3.0,1.0,0.0,2.0,1.0,16.0,0.0,1.0
Trendon Watford,2022-23,Regular,Sun 4/2,@MIN,W107-105,19.0,6-8,75.0,0-2,0.0,3-5,60.0,3.0,2.0,0.0,0.0,1.0,1.0,15.0,0.0,2.0
Trendon Watford,2022-23,Regular,Fri 3/31,vsSAC,L138-114,22.0,3-9,33.3,0-2,0.0,2-4,50.0,4.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,2.0
Trendon Watford,2022-23,Regular,Sun 3/26,vsOKC,L118-112,11.0,3-4,75.0,0-1,0.0,0-1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0
Trendon Watford,2022-23,Regular,Fri 3/24,vsCHI,L124-96,28.0,5-10,50.0,0-2,0.0,5-5,100.0,6.0,3.0,1.0,0.0,2.0,2.0,15.0,0.0,2.0
Trendon Watford,2022-23,Regular,Wed 3/22,@UTAH,W127-115,35.0,9-16,56.3,1-3,33.3,2-2,100.0,9.0,5.0,2.0,1.0,4.0,1.0,21.0,1.0,3.0
Trendon Watford,2022-23,Regular,Sun 3/19,vsLAC,L117-102,29.0,5-9,55.6,0-0,0.0,2-2,100.0,3.0,0.0,0.0,1.0,3.0,1.0,12.0,0.0,0.0
Trendon Watford,2022-23,Regular,Fri 3/17,vsBOS,L126-112,34.0,4-7,57.1,2-3,66.7,0-0,0.0,8.0,8.0,0.0,3.0,3.0,1.0,10.0,2.0,3.0
Trendon Watford,2022-23,Regular,Tue 3/14,vsNY,L123-107,40.0,4-12,33.3,2-2,100.0,0-0,0.0,6.0,4.0,0.0,3.0,1.0,0.0,10.0,2.0,2.0
Trendon Watford,2022-23,Regular,Sun 3/12,@NO,L127-110,23.0,5-8,62.5,0-0,0.0,0-1,0.0,7.0,3.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0
