Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Trey Murphy III,2022-23,Regular,Sun 4/9,@MIN,L113-108,40.0,6-10,60.0,1-4,25.0,7-8,87.5,4.0,0.0,0.0,2.0,2.0,1.0,20.0,1.0,4.0
Trey Murphy III,2022-23,Regular,Fri 4/7,vsNY,W113-105,39.0,10-21,47.6,3-10,30.0,8-8,100.0,3.0,2.0,1.0,1.0,2.0,0.0,31.0,3.0,10.0
Trey Murphy III,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,46.0,9-18,50.0,7-13,53.8,5-6,83.3,2.0,4.0,0.0,3.0,3.0,0.0,30.0,7.0,13.0
Trey Murphy III,2022-23,Regular,Tue 4/4,vsSAC,L121-103,36.0,6-12,50.0,3-8,37.5,2-3,66.7,2.0,2.0,0.0,1.0,2.0,0.0,17.0,3.0,8.0
Trey Murphy III,2022-23,Regular,Sat 4/1,vsLAC,W122-114,39.0,4-8,50.0,2-5,40.0,9-11,81.8,4.0,1.0,2.0,2.0,2.0,1.0,19.0,2.0,5.0
Trey Murphy III,2022-23,Regular,Thu 3/30,@DEN,W107-88,39.0,5-14,35.7,3-10,30.0,2-2,100.0,2.0,3.0,0.0,2.0,1.0,0.0,15.0,3.0,10.0
Trey Murphy III,2022-23,Regular,Tue 3/28,@GS,L120-109,38.0,6-9,66.7,4-6,66.7,5-5,100.0,3.0,3.0,2.0,1.0,3.0,1.0,21.0,4.0,6.0
Trey Murphy III,2022-23,Regular,Mon 3/27,@POR,W124-90,28.0,5-11,45.5,1-7,14.3,5-5,100.0,2.0,1.0,0.0,1.0,3.0,2.0,16.0,1.0,7.0
Trey Murphy III,2022-23,Regular,Sat 3/25,@LAC,W131-110,37.0,11-14,78.6,10-12,83.3,0-0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,32.0,10.0,12.0
Trey Murphy III,2022-23,Regular,Thu 3/23,vsCHA,W115-96,33.0,7-14,50.0,4-8,50.0,1-1,100.0,2.0,1.0,0.0,4.0,0.0,2.0,19.0,4.0,8.0
Trey Murphy III,2022-23,Regular,Tue 3/21,vsSA,W119-84,31.0,6-12,50.0,3-9,33.3,2-2,100.0,3.0,0.0,1.0,0.0,1.0,0.0,17.0,3.0,9.0
Trey Murphy III,2022-23,Regular,Sun 3/19,@HOU,W117-107,38.0,5-13,38.5,3-10,30.0,1-1,100.0,4.0,1.0,0.0,0.0,0.0,1.0,14.0,3.0,10.0
Trey Murphy III,2022-23,Regular,Fri 3/17,@HOU,L114-112,37.0,4-11,36.4,4-10,40.0,1-1,100.0,4.0,2.0,0.0,1.0,2.0,0.0,13.0,4.0,10.0
Trey Murphy III,2022-23,Regular,Tue 3/14,vsLAL,L123-108,38.0,7-14,50.0,4-7,57.1,2-3,66.7,3.0,1.0,1.0,3.0,1.0,2.0,20.0,4.0,7.0
Trey Murphy III,2022-23,Regular,Sun 3/12,vsPOR,W127-110,30.0,13-20,65.0,9-14,64.3,6-6,100.0,7.0,1.0,1.0,1.0,2.0,1.0,41.0,9.0,14.0
