Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Troy Brown Jr,2022-23,Postseason,Sat 5/20,vsDEN,L119-108,1.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Troy Brown Jr,2022-23,Postseason,Fri 5/12,vsGS,W122-101,4.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Troy Brown Jr,2022-23,Postseason,Wed 5/10,@GS,L121-106,3.0,1-3,33.3,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Troy Brown Jr,2022-23,Postseason,Sat 5/6,vsGS,W127-97,9.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Troy Brown Jr,2022-23,Postseason,Thu 5/4,@GS,L127-100,8.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Troy Brown Jr,2022-23,Postseason,Tue 5/2,@GS,W117-112,12.0,1-2,50.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
Troy Brown Jr,2022-23,Postseason,Fri 4/28,vsMEM,W125-85,9.0,0-1,0.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Troy Brown Jr,2022-23,Postseason,Wed 4/26,@MEM,L116-99,12.0,0-2,0.0,0-2,0.0,0-0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Troy Brown Jr,2022-23,Postseason,Mon 4/24,vsMEM,W117-111 OT,22.0,3-5,60.0,0-2,0.0,0-0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
Troy Brown Jr,2022-23,Postseason,Sat 4/22,vsMEM,W111-101,17.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0
Troy Brown Jr,2022-23,Postseason,Wed 4/19,@MEM,L103-93,11.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Troy Brown Jr,2022-23,Postseason,Sun 4/16,@MEM,W128-112,17.0,1-4,25.0,1-3,33.3,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Troy Brown Jr,2022-23,Regular,Sun 4/9,vsUTAH,W128-117,18.0,2-5,40.0,1-3,33.3,1-2,50.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0
Troy Brown Jr,2022-23,Regular,Fri 4/7,vsPHX,W121-107,24.0,3-6,50.0,2-2,100.0,0-0,0.0,6.0,3.0,0.0,2.0,1.0,0.0,8.0,2.0,2.0
Troy Brown Jr,2022-23,Regular,Wed 4/5,@LAC,L125-118,19.0,2-5,40.0,2-4,50.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0
Troy Brown Jr,2022-23,Regular,Tue 4/4,@UTAH,W135-133 OT,26.0,1-4,25.0,1-2,50.0,0-0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0
Troy Brown Jr,2022-23,Regular,Sun 4/2,@HOU,W134-109,26.0,3-3,100.0,1-1,100.0,0-0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0
Troy Brown Jr,2022-23,Regular,Fri 3/31,@MIN,W123-111,9.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Troy Brown Jr,2022-23,Regular,Wed 3/29,@CHI,W121-110,20.0,0-3,0.0,0-2,0.0,0-0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0
Troy Brown Jr,2022-23,Regular,Sun 3/26,vsCHI,L118-108,32.0,7-13,53.8,4-9,44.4,0-0,0.0,6.0,1.0,2.0,2.0,2.0,2.0,18.0,4.0,9.0
