Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ty Jerome,2022-23,Regular,Tue 4/4,vsOKC,W136-125,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty Jerome,2022-23,Regular,Sat 3/11,vsMIL,W125-116 OT,14.0,0-5,0.0,0-2,0.0,0-0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ty Jerome,2022-23,Regular,Thu 3/9,@MEM,L131-110,23.0,3-4,75.0,3-4,75.0,2-2,100.0,2.0,3.0,0.0,1.0,1.0,1.0,11.0,3.0,4.0
Ty Jerome,2022-23,Regular,Fri 3/3,vsNO,W108-99,22.0,1-5,20.0,0-1,0.0,0-0,0.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Ty Jerome,2022-23,Regular,Thu 3/2,vsLAC,W115-91,20.0,1-6,16.7,0-4,0.0,2-2,100.0,4.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0
Ty Jerome,2022-23,Regular,Tue 2/28,vsPOR,W123-105,17.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Ty Jerome,2022-23,Regular,Sun 2/26,vsMIN,W109-104,21.0,1-5,20.0,0-1,0.0,0-0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0
Ty Jerome,2022-23,Regular,Fri 2/24,vsHOU,W116-101,24.0,4-7,57.1,1-2,50.0,0-0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,9.0,1.0,2.0
Ty Jerome,2022-23,Regular,Thu 2/23,@LAL,L124-111,30.0,8-15,53.3,2-4,50.0,2-2,100.0,2.0,3.0,0.0,1.0,3.0,2.0,20.0,2.0,4.0
Ty Jerome,2022-23,Regular,Tue 2/14,@LAC,L134-124,17.0,3-5,60.0,1-1,100.0,4-5,80.0,2.0,2.0,0.0,0.0,2.0,1.0,11.0,1.0,1.0
Ty Jerome,2022-23,Regular,Mon 2/13,vsWSH,W135-126,18.0,4-5,80.0,0-0,0.0,1-1,100.0,2.0,7.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0
Ty Jerome,2022-23,Regular,Sat 2/11,vsLAL,L109-103,18.0,5-7,71.4,0-0,0.0,0-0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0
Ty Jerome,2022-23,Regular,Wed 2/8,@POR,L125-122,18.0,2-3,66.7,0-1,0.0,0-0,0.0,3.0,5.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0
Ty Jerome,2022-23,Regular,Mon 2/6,vsOKC,W141-114,19.0,2-6,33.3,1-2,50.0,1-2,50.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0
Ty Jerome,2022-23,Regular,Sat 2/4,vsDAL,W119-113,18.0,2-4,50.0,1-1,100.0,0-0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0
Ty Jerome,2022-23,Regular,Thu 2/2,@DEN,L134-117,24.0,4-10,40.0,1-6,16.7,0-0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,9.0,1.0,6.0
Ty Jerome,2022-23,Regular,Sun 1/22,vsBKN,L120-116,9.0,1-2,50.0,1-1,100.0,0-0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0
Ty Jerome,2022-23,Regular,Fri 1/20,@CLE,W120-114,41.0,9-13,69.2,3-4,75.0,1-1,100.0,1.0,8.0,1.0,1.0,2.0,1.0,22.0,3.0,4.0
Ty Jerome,2022-23,Regular,Mon 1/16,@WSH,W127-118,14.0,0-3,0.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Ty Jerome,2022-23,Regular,Sun 1/15,@CHI,L132-118,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ty Jerome,2022-23,Regular,Tue 1/10,vsPHX,L125-113,9.0,2-3,66.7,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Ty Jerome,2022-23,Regular,Sat 1/7,vsORL,L115-101,18.0,2-6,33.3,0-2,0.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0
Ty Jerome,2022-23,Regular,Wed 1/4,vsDET,L122-119,27.0,7-11,63.6,3-4,75.0,1-1,100.0,0.0,3.0,0.0,0.0,2.0,1.0,18.0,3.0,4.0
Ty Jerome,2022-23,Regular,Mon 1/2,vsATL,W143-141 2OT,22.0,1-6,16.7,0-3,0.0,1-1,100.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0
Ty Jerome,2022-23,Regular,Fri 12/30,vsPOR,W118-112,21.0,2-5,40.0,1-3,33.3,4-4,100.0,1.0,4.0,1.0,1.0,2.0,2.0,9.0,1.0,3.0
Ty Jerome,2022-23,Regular,Wed 12/28,vsUTAH,W112-107,30.0,7-14,50.0,2-7,28.6,1-1,100.0,7.0,2.0,0.0,1.0,5.0,0.0,17.0,2.0,7.0
Ty Jerome,2022-23,Regular,Tue 12/27,vsCHA,W110-105,20.0,2-9,22.2,1-4,25.0,0-0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,1.0,4.0
Ty Jerome,2022-23,Regular,Sun 12/25,vsMEM,W123-109,22.0,6-9,66.7,2-4,50.0,0-0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,14.0,2.0,4.0
Ty Jerome,2022-23,Regular,Wed 12/21,@BKN,L143-113,26.0,5-9,55.6,1-1,100.0,3-3,100.0,3.0,7.0,0.0,1.0,1.0,1.0,14.0,1.0,1.0
Ty Jerome,2022-23,Regular,Tue 12/20,@NY,L132-94,24.0,5-7,71.4,1-2,50.0,0-0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,11.0,1.0,2.0
Ty Jerome,2022-23,Regular,Sun 12/18,@TOR,W126-110,18.0,2-3,66.7,2-3,66.7,3-4,75.0,3.0,4.0,0.0,0.0,1.0,2.0,9.0,2.0,3.0
Ty Jerome,2022-23,Regular,Fri 12/16,@PHI,L118-106,19.0,4-10,40.0,1-2,50.0,0-0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,9.0,1.0,2.0
Ty Jerome,2022-23,Regular,Wed 12/14,@IND,L125-119,13.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Ty Jerome,2022-23,Regular,Sat 12/10,vsBOS,W123-107,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty Jerome,2022-23,Regular,Wed 12/7,@UTAH,L124-123,24.0,2-6,33.3,0-2,0.0,0-0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
Ty Jerome,2022-23,Regular,Sat 12/3,vsHOU,W120-101,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ty Jerome,2022-23,Regular,Mon 11/21,@NO,L128-83,26.0,2-4,50.0,1-1,100.0,2-2,100.0,1.0,3.0,0.0,0.0,3.0,2.0,7.0,1.0,1.0
Ty Jerome,2022-23,Regular,Mon 11/7,vsSAC,W116-113,12.0,0-2,0.0,0-1,0.0,2-2,100.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Ty Jerome,2022-23,Regular,Fri 11/4,@NO,L114-105,32.0,7-12,58.3,2-6,33.3,2-2,100.0,6.0,5.0,0.0,0.0,1.0,0.0,18.0,2.0,6.0
