Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
TyTy Washington Jr,2022-23,Regular,Sun 4/9,@WSH,W114-109,21.0,3-5,60.0,2-2,100.0,0-2,0.0,3.0,0.0,0.0,2.0,2.0,0.0,8.0,2.0,2.0
TyTy Washington Jr,2022-23,Regular,Mon 3/13,vsBOS,W111-109,11.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TyTy Washington Jr,2022-23,Regular,Tue 3/7,vsBKN,L118-96,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Sun 3/5,vsSA,W142-110,7.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0
TyTy Washington Jr,2022-23,Regular,Wed 3/1,vsMEM,L113-99,5.0,0-5,0.0,0-4,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
TyTy Washington Jr,2022-23,Regular,Tue 2/28,vsDEN,L133-112,28.0,5-10,50.0,2-5,40.0,0-0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,12.0,2.0,5.0
TyTy Washington Jr,2022-23,Regular,Sun 2/26,@POR,L131-114,32.0,3-10,30.0,2-7,28.6,2-2,100.0,4.0,3.0,0.0,1.0,0.0,1.0,10.0,2.0,7.0
TyTy Washington Jr,2022-23,Regular,Fri 2/24,@GS,L116-101,34.0,5-12,41.7,3-6,50.0,2-3,66.7,2.0,4.0,0.0,2.0,1.0,1.0,15.0,3.0,6.0
TyTy Washington Jr,2022-23,Regular,Wed 2/15,@OKC,L133-96,19.0,3-11,27.3,2-6,33.3,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0
TyTy Washington Jr,2022-23,Regular,Mon 2/13,@PHI,L123-104,20.0,2-5,40.0,0-0,0.0,0-0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0
TyTy Washington Jr,2022-23,Regular,Fri 2/10,@MIA,L97-95,23.0,2-7,28.6,0-3,0.0,2-3,66.7,6.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0
TyTy Washington Jr,2022-23,Regular,Mon 2/6,vsSAC,L140-120,2.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Sat 2/4,@OKC,L153-121,25.0,9-16,56.3,2-7,28.6,0-0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,20.0,2.0,7.0
TyTy Washington Jr,2022-23,Regular,Fri 2/3,vsTOR,L117-111,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TyTy Washington Jr,2022-23,Regular,Sat 1/28,@DET,W117-114,4.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Thu 1/26,vsCLE,L113-95,29.0,4-10,40.0,1-5,20.0,1-2,50.0,3.0,3.0,0.0,1.0,1.0,3.0,10.0,1.0,5.0
TyTy Washington Jr,2022-23,Regular,Mon 1/23,vsMIN,W119-114,13.0,0-3,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Sat 1/21,@MIN,L113-104,15.0,1-3,33.3,1-3,33.3,0-0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0
TyTy Washington Jr,2022-23,Regular,Sun 1/15,@LAC,L121-100,12.0,1-4,25.0,0-2,0.0,0-0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
TyTy Washington Jr,2022-23,Regular,Wed 1/4,@NO,L119-108,13.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Mon 1/2,vsDAL,L111-106,8.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Sat 12/31,vsNY,L108-88,13.0,0-3,0.0,0-2,0.0,1-2,50.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
TyTy Washington Jr,2022-23,Regular,Thu 12/29,@DAL,L129-114,14.0,1-6,16.7,0-3,0.0,1-2,50.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
TyTy Washington Jr,2022-23,Regular,Tue 12/27,@BOS,L126-102,20.0,4-10,40.0,2-5,40.0,0-0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,10.0,2.0,5.0
TyTy Washington Jr,2022-23,Regular,Mon 12/26,@CHI,W133-118,8.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
TyTy Washington Jr,2022-23,Regular,Fri 12/23,vsDAL,L112-106,12.0,1-5,20.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Mon 12/19,vsSA,L124-105,4.0,4-5,80.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0
TyTy Washington Jr,2022-23,Regular,Sat 12/17,vsPOR,L107-95,15.0,3-6,50.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0
TyTy Washington Jr,2022-23,Regular,Thu 12/15,vsMIA,L111-108,12.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Thu 12/8,@SA,L118-109,5.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
TyTy Washington Jr,2022-23,Regular,Mon 11/14,vsLAC,L122-106,4.0,0-0,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TyTy Washington Jr,2022-23,Preseason,Fri 10/14,@IND,W122-114,21.0,3-8,37.5,1-4,25.0,1-1,100.0,1.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0,4.0
TyTy Washington Jr,2022-23,Preseason,Mon 10/10,@MIA,L118-110,17.0,1-5,20.0,0-2,0.0,2-3,66.7,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0
TyTy Washington Jr,2022-23,Preseason,Fri 10/7,vsTOR,W116-100,10.0,2-3,66.7,1-2,50.0,0-0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,5.0,1.0,2.0
TyTy Washington Jr,2022-23,Preseason,Sun 10/2,vsSA,W134-96,12.0,3-7,42.9,1-4,25.0,1-1,100.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,4.0
