Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Tyler Herro,2022-23,Postseason,Sun 4/16,@MIL,W130-117,19.0,5-9,55.6,2-4,50.0,0-0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,12.0,2.0,4.0
Tyler Herro,2022-23,Regular,Sun 4/9,vsORL,W123-110,9.0,2-3,66.7,0-1,0.0,0-0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0
Tyler Herro,2022-23,Regular,Thu 4/6,@PHI,W129-101,32.0,7-17,41.2,5-8,62.5,5-5,100.0,4.0,5.0,0.0,1.0,0.0,1.0,24.0,5.0,8.0
Tyler Herro,2022-23,Regular,Tue 4/4,@DET,W118-105,38.0,7-16,43.8,2-7,28.6,2-2,100.0,5.0,2.0,0.0,1.0,2.0,1.0,18.0,2.0,7.0
Tyler Herro,2022-23,Regular,Sat 4/1,vsDAL,W129-122,36.0,5-16,31.3,2-8,25.0,3-3,100.0,6.0,3.0,0.0,1.0,1.0,2.0,15.0,2.0,8.0
Tyler Herro,2022-23,Regular,Wed 3/29,@NY,L101-92,36.0,6-16,37.5,2-10,20.0,2-2,100.0,2.0,1.0,0.0,0.0,1.0,0.0,16.0,2.0,10.0
Tyler Herro,2022-23,Regular,Tue 3/28,@TOR,L106-92,37.0,13-21,61.9,6-10,60.0,1-1,100.0,3.0,6.0,0.0,0.0,0.0,4.0,33.0,6.0,10.0
Tyler Herro,2022-23,Regular,Sat 3/25,vsBKN,L129-100,33.0,9-16,56.3,3-8,37.5,2-2,100.0,2.0,3.0,0.0,2.0,0.0,0.0,23.0,3.0,8.0
Tyler Herro,2022-23,Regular,Wed 3/22,vsNY,W127-120,32.0,8-13,61.5,4-7,57.1,2-2,100.0,3.0,4.0,0.0,0.0,1.0,1.0,22.0,4.0,7.0
Tyler Herro,2022-23,Regular,Sun 3/19,@DET,W112-100,34.0,7-17,41.2,3-9,33.3,2-2,100.0,6.0,4.0,0.0,0.0,2.0,1.0,19.0,3.0,9.0
Tyler Herro,2022-23,Regular,Sat 3/18,@CHI,L113-99,36.0,5-11,45.5,3-8,37.5,2-2,100.0,7.0,2.0,1.0,0.0,2.0,6.0,15.0,3.0,8.0
Tyler Herro,2022-23,Regular,Wed 3/15,vsMEM,W138-119,34.0,9-14,64.3,2-6,33.3,4-4,100.0,4.0,6.0,0.0,1.0,2.0,2.0,24.0,2.0,6.0
Tyler Herro,2022-23,Regular,Mon 3/13,vsUTAH,W119-115,38.0,5-16,31.3,2-10,20.0,6-6,100.0,6.0,2.0,0.0,1.0,1.0,2.0,18.0,2.0,10.0
Tyler Herro,2022-23,Regular,Sat 3/11,@ORL,L126-114 OT,27.0,6-13,46.2,2-6,33.3,0-0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,14.0,2.0,6.0
Tyler Herro,2022-23,Regular,Fri 3/10,vsCLE,W119-115,38.0,8-15,53.3,5-7,71.4,4-4,100.0,9.0,4.0,0.0,0.0,1.0,3.0,25.0,5.0,7.0
Tyler Herro,2022-23,Regular,Wed 3/8,vsCLE,L104-100,36.0,7-15,46.7,4-8,50.0,4-5,80.0,5.0,5.0,0.0,2.0,1.0,3.0,22.0,4.0,8.0
Tyler Herro,2022-23,Regular,Mon 3/6,vsATL,W130-128,37.0,5-14,35.7,3-8,37.5,0-0,0.0,4.0,3.0,0.0,0.0,2.0,2.0,13.0,3.0,8.0
