Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Tyrese Haliburton,2022-23,Regular,Sat 3/25,@ATL,L143-130,32.0,7-13,53.8,2-5,40.0,3-3,100.0,1.0,13.0,1.0,1.0,1.0,1.0,19.0,2.0,5.0
Tyrese Haliburton,2022-23,Regular,Fri 3/24,@BOS,L120-95,29.0,7-13,53.8,1-5,20.0,5-6,83.3,6.0,9.0,0.0,1.0,2.0,5.0,20.0,1.0,5.0
Tyrese Haliburton,2022-23,Regular,Thu 3/9,vsHOU,W134-125 OT,38.0,9-20,45.0,2-9,22.2,9-10,90.0,2.0,19.0,0.0,0.0,1.0,1.0,29.0,2.0,9.0
Tyrese Haliburton,2022-23,Regular,Mon 3/6,vsPHI,L147-143,37.0,12-19,63.2,5-10,50.0,10-10,100.0,3.0,16.0,0.0,1.0,4.0,2.0,39.0,5.0,10.0
Tyrese Haliburton,2022-23,Regular,Sun 3/5,@CHI,W125-122,34.0,11-17,64.7,6-9,66.7,1-1,100.0,3.0,11.0,1.0,1.0,1.0,3.0,29.0,6.0,9.0
Tyrese Haliburton,2022-23,Regular,Tue 2/28,@DAL,W124-122,35.0,9-18,50.0,2-6,33.3,12-15,80.0,7.0,6.0,1.0,0.0,1.0,0.0,32.0,2.0,6.0
Tyrese Haliburton,2022-23,Regular,Sat 2/25,@ORL,W121-108,33.0,5-9,55.6,2-4,50.0,3-4,75.0,1.0,14.0,1.0,0.0,0.0,2.0,15.0,2.0,4.0
Tyrese Haliburton,2022-23,Regular,Thu 2/23,vsBOS,L142-138 OT,39.0,7-14,50.0,3-8,37.5,5-5,100.0,1.0,14.0,2.0,3.0,3.0,1.0,22.0,3.0,8.0
Tyrese Haliburton,2022-23,Regular,Sun 2/19,vsGIA*,L184-175,14.0,7-9,77.8,4-6,66.7,0-0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,4.0,6.0
Tyrese Haliburton,2022-23,Regular,Wed 2/15,vsCHI,W117-113,35.0,5-11,45.5,1-2,50.0,5-5,100.0,2.0,8.0,1.0,0.0,1.0,2.0,16.0,1.0,2.0
Tyrese Haliburton,2022-23,Regular,Mon 2/13,vsUTAH,L123-117,35.0,12-24,50.0,3-8,37.5,3-3,100.0,1.0,12.0,1.0,3.0,4.0,1.0,30.0,3.0,8.0
Tyrese Haliburton,2022-23,Regular,Sat 2/11,@WSH,L127-113,35.0,8-16,50.0,5-8,62.5,0-0,0.0,6.0,7.0,0.0,2.0,0.0,2.0,21.0,5.0,8.0
Tyrese Haliburton,2022-23,Regular,Fri 2/10,vsPHX,L117-104,25.0,7-9,77.8,2-4,50.0,2-2,100.0,1.0,5.0,0.0,3.0,1.0,4.0,18.0,2.0,4.0
Tyrese Haliburton,2022-23,Regular,Wed 2/8,@MIA,L116-111,37.0,3-8,37.5,2-6,33.3,3-6,50.0,2.0,10.0,1.0,1.0,2.0,4.0,11.0,2.0,6.0
Tyrese Haliburton,2022-23,Regular,Sun 2/5,vsCLE,L122-103,31.0,5-10,50.0,1-2,50.0,4-6,66.7,4.0,11.0,0.0,0.0,4.0,3.0,15.0,1.0,2.0
Tyrese Haliburton,2022-23,Regular,Fri 2/3,vsSAC,W107-104,34.0,4-12,33.3,2-7,28.6,0-0,0.0,4.0,9.0,0.0,3.0,0.0,1.0,10.0,2.0,7.0
Tyrese Haliburton,2022-23,Regular,Thu 2/2,vsLAL,L112-111,36.0,11-24,45.8,4-13,30.8,0-0,0.0,2.0,12.0,0.0,2.0,0.0,4.0,26.0,4.0,13.0
Tyrese Haliburton,2022-23,Regular,Wed 1/11,@NY,L119-113,27.0,6-12,50.0,1-5,20.0,2-3,66.7,3.0,7.0,0.0,1.0,1.0,4.0,15.0,1.0,5.0
Tyrese Haliburton,2022-23,Regular,Sun 1/8,vsCHA,W116-111,35.0,4-10,40.0,2-6,33.3,6-6,100.0,5.0,13.0,0.0,3.0,3.0,1.0,16.0,2.0,6.0
Tyrese Haliburton,2022-23,Regular,Fri 1/6,vsPOR,W108-99,33.0,5-15,33.3,3-10,30.0,2-2,100.0,4.0,12.0,0.0,1.0,1.0,2.0,15.0,3.0,10.0
Tyrese Haliburton,2022-23,Regular,Wed 1/4,@PHI,L129-126 OT,40.0,7-14,50.0,2-7,28.6,0-0,0.0,7.0,12.0,1.0,2.0,0.0,2.0,16.0,2.0,7.0
Tyrese Haliburton,2022-23,Regular,Mon 1/2,vsTOR,W122-114,32.0,7-15,46.7,2-4,50.0,0-0,0.0,6.0,8.0,0.0,2.0,1.0,7.0,16.0,2.0,4.0
Tyrese Haliburton,2022-23,Regular,Sat 12/31,vsLAC,W131-130,33.0,8-13,61.5,2-6,33.3,6-7,85.7,7.0,10.0,1.0,4.0,2.0,0.0,24.0,2.0,6.0
Tyrese Haliburton,2022-23,Regular,Thu 12/29,vsCLE,W135-126,34.0,10-19,52.6,6-8,75.0,3-3,100.0,2.0,9.0,0.0,2.0,0.0,1.0,29.0,6.0,8.0
Tyrese Haliburton,2022-23,Regular,Tue 12/27,vsATL,W129-114,30.0,9-16,56.3,3-8,37.5,2-3,66.7,3.0,7.0,0.0,1.0,0.0,1.0,23.0,3.0,8.0
Tyrese Haliburton,2022-23,Regular,Mon 12/26,@NO,L113-93,31.0,4-12,33.3,1-5,20.0,3-3,100.0,1.0,6.0,1.0,2.0,1.0,3.0,12.0,1.0,5.0
Tyrese Haliburton,2022-23,Regular,Fri 12/23,@MIA,W111-108,37.0,14-20,70.0,10-16,62.5,5-5,100.0,2.0,7.0,1.0,1.0,1.0,3.0,43.0,10.0,16.0
Tyrese Haliburton,2022-23,Regular,Wed 12/21,@BOS,W117-112,34.0,12-24,50.0,6-13,46.2,3-4,75.0,3.0,8.0,0.0,1.0,0.0,2.0,33.0,6.0,13.0
Tyrese Haliburton,2022-23,Regular,Sun 12/18,vsNY,L109-106,32.0,5-16,31.3,2-6,33.3,3-3,100.0,1.0,10.0,0.0,0.0,3.0,2.0,15.0,2.0,6.0
Tyrese Haliburton,2022-23,Regular,Fri 12/16,@CLE,L118-112,35.0,5-13,38.5,0-8,0.0,7-7,100.0,0.0,14.0,1.0,3.0,0.0,2.0,17.0,0.0,8.0
Tyrese Haliburton,2022-23,Regular,Wed 12/14,vsGS,W125-119,34.0,9-17,52.9,5-10,50.0,6-7,85.7,4.0,6.0,2.0,1.0,3.0,6.0,29.0,5.0,10.0
