Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Tyrese Maxey,2022-23,Postseason,Sun 5/14,@BOS,L112-88,42.0,5-12,41.7,2-6,33.3,5-5,100.0,3.0,4.0,0.0,0.0,2.0,1.0,17.0,2.0,6.0
Tyrese Maxey,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,40.0,9-20,45.0,3-9,33.3,5-6,83.3,5.0,3.0,0.0,3.0,0.0,0.0,26.0,3.0,9.0
Tyrese Maxey,2022-23,Postseason,Tue 5/9,@BOS,W115-103,42.0,10-21,47.6,6-12,50.0,4-4,100.0,7.0,3.0,0.0,0.0,2.0,1.0,30.0,6.0,12.0
Tyrese Maxey,2022-23,Postseason,Sun 5/7,vsBOS,W116-115 OT,45.0,6-17,35.3,2-6,33.3,0-0,0.0,8.0,1.0,1.0,2.0,1.0,1.0,14.0,2.0,6.0
Tyrese Maxey,2022-23,Postseason,Fri 5/5,vsBOS,L114-102,40.0,4-16,25.0,3-9,33.3,2-2,100.0,6.0,2.0,2.0,0.0,2.0,0.0,13.0,3.0,9.0
Tyrese Maxey,2022-23,Postseason,Wed 5/3,@BOS,L121-87,30.0,6-14,42.9,1-4,25.0,0-0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,13.0,1.0,4.0
Tyrese Maxey,2022-23,Postseason,Mon 5/1,@BOS,W119-115,36.0,10-24,41.7,2-9,22.2,4-4,100.0,1.0,2.0,0.0,4.0,5.0,0.0,26.0,2.0,9.0
Tyrese Maxey,2022-23,Postseason,Sat 4/22,@BKN,W96-88,39.0,6-20,30.0,1-4,25.0,3-3,100.0,8.0,1.0,0.0,2.0,3.0,3.0,16.0,1.0,4.0
Tyrese Maxey,2022-23,Postseason,Thu 4/20,@BKN,W102-97,36.0,10-17,58.8,5-8,62.5,0-0,0.0,3.0,3.0,0.0,1.0,4.0,1.0,25.0,5.0,8.0
Tyrese Maxey,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,40.0,13-23,56.5,6-13,46.2,1-3,33.3,3.0,0.0,1.0,0.0,2.0,0.0,33.0,6.0,13.0
Tyrese Maxey,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,33.0,3-8,37.5,3-5,60.0,4-4,100.0,6.0,3.0,0.0,3.0,2.0,0.0,13.0,3.0,5.0
Tyrese Maxey,2022-23,Regular,Tue 4/4,vsBOS,W103-101,40.0,2-8,25.0,1-4,25.0,0-0,0.0,4.0,1.0,1.0,0.0,5.0,4.0,5.0,1.0,4.0
Tyrese Maxey,2022-23,Regular,Sun 4/2,@MIL,L117-104,35.0,9-15,60.0,6-7,85.7,5-5,100.0,4.0,2.0,0.0,1.0,1.0,1.0,29.0,6.0,7.0
Tyrese Maxey,2022-23,Regular,Fri 3/31,vsTOR,W117-110,37.0,5-8,62.5,2-4,50.0,1-1,100.0,0.0,6.0,0.0,0.0,2.0,0.0,13.0,2.0,4.0
Tyrese Maxey,2022-23,Regular,Wed 3/29,vsDAL,W116-108,34.0,6-13,46.2,4-9,44.4,6-6,100.0,4.0,4.0,0.0,2.0,3.0,1.0,22.0,4.0,9.0
Tyrese Maxey,2022-23,Regular,Mon 3/27,@DEN,L116-111,34.0,12-21,57.1,2-6,33.3,3-5,60.0,4.0,5.0,0.0,3.0,1.0,0.0,29.0,2.0,6.0
Tyrese Maxey,2022-23,Regular,Sat 3/25,@PHX,L125-105,36.0,14-19,73.7,7-11,63.6,2-3,66.7,7.0,3.0,0.0,1.0,1.0,3.0,37.0,7.0,11.0
Tyrese Maxey,2022-23,Regular,Fri 3/24,@GS,L120-112,39.0,7-16,43.8,4-8,50.0,3-3,100.0,4.0,5.0,0.0,1.0,4.0,1.0,21.0,4.0,8.0
Tyrese Maxey,2022-23,Regular,Wed 3/22,@CHI,W116-91,38.0,8-19,42.1,4-8,50.0,1-1,100.0,5.0,4.0,0.0,1.0,1.0,0.0,21.0,4.0,8.0
Tyrese Maxey,2022-23,Regular,Mon 3/20,vsCHI,L109-105 2OT,46.0,9-19,47.4,2-7,28.6,2-2,100.0,5.0,6.0,1.0,0.0,1.0,2.0,22.0,2.0,7.0
