Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Victor Oladipo,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,19.0,4-6,66.7,0-1,0.0,0-0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,8.0,0.0,1.0
Victor Oladipo,2022-23,Postseason,Wed 4/19,@MIL,L138-122,26.0,6-13,46.2,2-4,50.0,1-3,33.3,5.0,1.0,0.0,0.0,2.0,2.0,15.0,2.0,4.0
Victor Oladipo,2022-23,Regular,Sun 4/9,vsORL,W123-110,23.0,7-12,58.3,5-8,62.5,0-0,0.0,2.0,8.0,0.0,2.0,2.0,6.0,19.0,5.0,8.0
Victor Oladipo,2022-23,Regular,Fri 4/7,@WSH,L114-108,26.0,11-24,45.8,7-16,43.8,1-4,25.0,1.0,4.0,1.0,2.0,4.0,3.0,30.0,7.0,16.0
Victor Oladipo,2022-23,Regular,Wed 3/29,@NY,L101-92,19.0,3-10,30.0,1-7,14.3,2-2,100.0,2.0,3.0,0.0,1.0,2.0,2.0,9.0,1.0,7.0
Victor Oladipo,2022-23,Regular,Tue 3/28,@TOR,L106-92,23.0,2-7,28.6,1-3,33.3,2-2,100.0,2.0,2.0,0.0,0.0,2.0,2.0,7.0,1.0,3.0
Victor Oladipo,2022-23,Regular,Sat 3/18,@CHI,L113-99,16.0,1-3,33.3,0-1,0.0,0-0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
Victor Oladipo,2022-23,Regular,Mon 3/13,vsUTAH,W119-115,21.0,4-5,80.0,3-4,75.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,11.0,3.0,4.0
Victor Oladipo,2022-23,Regular,Sat 3/11,@ORL,L126-114 OT,24.0,3-13,23.1,1-8,12.5,2-2,100.0,3.0,3.0,1.0,2.0,1.0,2.0,9.0,1.0,8.0
Victor Oladipo,2022-23,Regular,Fri 3/10,vsCLE,W119-115,22.0,3-7,42.9,2-3,66.7,0-0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,8.0,2.0,3.0
