Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Walker Kessler,2022-23,Regular,Sun 4/2,@BKN,L111-110,22.0,3-5,60.0,0-1,0.0,0-2,0.0,8.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0
Walker Kessler,2022-23,Regular,Fri 3/31,@BOS,L122-114,34.0,10-13,76.9,0-0,0.0,0-0,0.0,10.0,2.0,3.0,0.0,1.0,2.0,20.0,0.0,0.0
Walker Kessler,2022-23,Regular,Wed 3/29,@SA,W128-117,21.0,4-8,50.0,0-0,0.0,1-1,100.0,10.0,4.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0
Walker Kessler,2022-23,Regular,Mon 3/27,vsPHX,L117-103,30.0,8-10,80.0,0-0,0.0,2-5,40.0,8.0,1.0,7.0,1.0,2.0,0.0,18.0,0.0,0.0
Walker Kessler,2022-23,Regular,Sat 3/25,@SAC,L121-113,34.0,14-16,87.5,0-0,0.0,3-6,50.0,11.0,2.0,1.0,1.0,4.0,1.0,31.0,0.0,0.0
Walker Kessler,2022-23,Regular,Fri 3/24,vsMIL,L144-116,17.0,3-6,50.0,0-0,0.0,1-2,50.0,8.0,2.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0
Walker Kessler,2022-23,Regular,Wed 3/22,vsPOR,L127-115,24.0,4-6,66.7,0-0,0.0,0-3,0.0,5.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0
Walker Kessler,2022-23,Regular,Mon 3/20,vsSAC,W128-120,30.0,4-6,66.7,0-0,0.0,2-4,50.0,8.0,2.0,5.0,0.0,3.0,1.0,10.0,0.0,0.0
Walker Kessler,2022-23,Regular,Sat 3/18,vsBOS,W118-117,34.0,5-7,71.4,0-0,0.0,2-5,40.0,14.0,1.0,3.0,0.0,2.0,0.0,12.0,0.0,0.0
Walker Kessler,2022-23,Regular,Mon 3/13,@MIA,L119-115,30.0,3-4,75.0,0-0,0.0,1-2,50.0,9.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0
Walker Kessler,2022-23,Regular,Sat 3/11,@CHA,W119-111,32.0,8-10,80.0,0-0,0.0,1-2,50.0,16.0,1.0,3.0,0.0,2.0,1.0,17.0,0.0,0.0
Walker Kessler,2022-23,Regular,Thu 3/9,@ORL,W131-124,32.0,5-5,100.0,0-0,0.0,3-3,100.0,10.0,3.0,3.0,0.0,3.0,3.0,13.0,0.0,0.0
Walker Kessler,2022-23,Regular,Sun 3/5,@OKC,L129-119,32.0,8-11,72.7,0-1,0.0,1-2,50.0,10.0,0.0,5.0,0.0,3.0,2.0,17.0,0.0,1.0
Walker Kessler,2022-23,Regular,Fri 3/3,@OKC,L130-103,25.0,5-5,100.0,0-0,0.0,0-0,0.0,11.0,0.0,4.0,0.0,2.0,1.0,10.0,0.0,0.0
Walker Kessler,2022-23,Regular,Tue 2/28,vsSA,L102-94,33.0,4-7,57.1,0-0,0.0,2-4,50.0,15.0,2.0,2.0,0.0,5.0,0.0,10.0,0.0,0.0
Walker Kessler,2022-23,Regular,Sat 2/25,vsSA,W118-102,27.0,4-6,66.7,0-0,0.0,1-2,50.0,12.0,2.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0
Walker Kessler,2022-23,Regular,Thu 2/23,vsOKC,W120-119 OT,37.0,3-4,75.0,1-1,100.0,0-2,0.0,18.0,2.0,7.0,0.0,2.0,0.0,7.0,1.0,1.0
