Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Wendell Carter Jr,2022-23,Regular,Sun 4/9,@MIA,L123-110,16.0,0-3,0.0,0-3,0.0,0-0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Wendell Carter Jr,2022-23,Regular,Tue 4/4,vsCLE,L117-113,32.0,6-10,60.0,4-5,80.0,1-2,50.0,12.0,3.0,0.0,2.0,3.0,0.0,17.0,4.0,5.0
Wendell Carter Jr,2022-23,Regular,Sun 4/2,vsDET,W128-102,23.0,4-8,50.0,3-5,60.0,3-4,75.0,9.0,1.0,1.0,3.0,3.0,1.0,14.0,3.0,5.0
Wendell Carter Jr,2022-23,Regular,Fri 3/31,@WSH,W116-109,26.0,5-11,45.5,1-5,20.0,0-2,0.0,7.0,3.0,1.0,0.0,3.0,1.0,11.0,1.0,5.0
Wendell Carter Jr,2022-23,Regular,Tue 3/28,@MEM,L113-108,29.0,5-10,50.0,2-6,33.3,2-2,100.0,7.0,2.0,2.0,1.0,1.0,1.0,14.0,2.0,6.0
Wendell Carter Jr,2022-23,Regular,Sun 3/26,vsBKN,W119-106,25.0,7-9,77.8,1-3,33.3,3-4,75.0,6.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0
Wendell Carter Jr,2022-23,Regular,Thu 3/23,vsNY,W111-106,31.0,7-13,53.8,2-5,40.0,0-1,0.0,8.0,0.0,0.0,0.0,3.0,0.0,16.0,2.0,5.0
Wendell Carter Jr,2022-23,Regular,Tue 3/21,vsWSH,W122-112,34.0,3-8,37.5,2-5,40.0,6-6,100.0,9.0,2.0,1.0,0.0,3.0,1.0,14.0,2.0,5.0
Wendell Carter Jr,2022-23,Regular,Sun 3/19,@LAL,L111-105,33.0,6-11,54.5,2-5,40.0,2-2,100.0,11.0,0.0,0.0,1.0,4.0,0.0,16.0,2.0,5.0
Wendell Carter Jr,2022-23,Regular,Sat 3/18,@LAC,W113-108,33.0,11-19,57.9,4-8,50.0,1-1,100.0,12.0,2.0,2.0,3.0,2.0,3.0,27.0,4.0,8.0
Wendell Carter Jr,2022-23,Regular,Thu 3/16,@PHX,L116-113,33.0,7-11,63.6,2-5,40.0,0-0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,16.0,2.0,5.0
Wendell Carter Jr,2022-23,Regular,Tue 3/14,@SA,L132-114,29.0,7-15,46.7,1-6,16.7,1-2,50.0,10.0,3.0,0.0,0.0,3.0,0.0,16.0,1.0,6.0
Wendell Carter Jr,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,42.0,12-17,70.6,2-7,28.6,1-2,50.0,11.0,2.0,0.0,1.0,1.0,1.0,27.0,2.0,7.0
Wendell Carter Jr,2022-23,Regular,Fri 3/3,@CHA,W117-106,30.0,4-6,66.7,2-3,66.7,2-2,100.0,9.0,2.0,0.0,0.0,4.0,2.0,12.0,2.0,3.0
Wendell Carter Jr,2022-23,Regular,Wed 3/1,@MIL,L139-117,24.0,6-13,46.2,1-4,25.0,6-8,75.0,10.0,0.0,1.0,0.0,2.0,1.0,19.0,1.0,4.0
Wendell Carter Jr,2022-23,Regular,Mon 2/27,@NO,W101-93,25.0,4-8,50.0,0-4,0.0,3-4,75.0,11.0,1.0,0.0,1.0,3.0,4.0,11.0,0.0,4.0
Wendell Carter Jr,2022-23,Regular,Sat 2/25,vsIND,L121-108,18.0,1-11,9.1,0-5,0.0,3-6,50.0,11.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,5.0
