Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Xavier Tillman,2022-23,Postseason,Fri 4/28,@LAL,L125-85,18.0,1-4,25.0,0-0,0.0,0-0,0.0,6.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0
Xavier Tillman,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,31.0,4-10,40.0,0-1,0.0,0-1,0.0,6.0,4.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0
Xavier Tillman,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,42.0,5-9,55.6,0-1,0.0,2-2,100.0,8.0,6.0,1.0,1.0,5.0,1.0,12.0,0.0,1.0
Xavier Tillman,2022-23,Postseason,Sat 4/22,@LAL,L111-101,39.0,3-5,60.0,0-0,0.0,0-0,0.0,12.0,2.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0
Xavier Tillman,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,32.0,10-13,76.9,1-2,50.0,1-2,50.0,13.0,3.0,0.0,0.0,1.0,0.0,22.0,1.0,2.0
Xavier Tillman,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,22.0,1-4,25.0,0-0,0.0,0-0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Fri 4/7,@MIL,W137-114,18.0,4-7,57.1,0-0,0.0,0-0,0.0,7.0,2.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Tue 4/4,vsPOR,W119-109,13.0,0-4,0.0,0-0,0.0,0-0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sun 4/2,@CHI,L128-107,30.0,2-2,100.0,0-0,0.0,2-4,50.0,8.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Fri 3/31,vsLAC,W108-94,32.0,7-11,63.6,0-0,0.0,0-1,0.0,8.0,2.0,2.0,2.0,0.0,1.0,14.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Wed 3/29,vsLAC,L141-132,31.0,7-8,87.5,0-0,0.0,2-3,66.7,9.0,5.0,1.0,1.0,5.0,1.0,16.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Tue 3/28,vsORL,W113-108,35.0,10-12,83.3,0-0,0.0,0-0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sun 3/26,@ATL,W123-119,31.0,7-10,70.0,0-0,0.0,1-2,50.0,8.0,3.0,2.0,3.0,0.0,0.0,15.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Fri 3/24,vsHOU,W151-114,21.0,4-4,100.0,0-0,0.0,0-0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,8.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Wed 3/22,vsHOU,W130-125,19.0,2-3,66.7,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Mon 3/20,vsDAL,W112-108,26.0,1-4,25.0,0-0,0.0,1-2,50.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sat 3/18,vsGS,W133-119,32.0,6-10,60.0,0-0,0.0,2-2,100.0,10.0,5.0,0.0,2.0,2.0,1.0,14.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Fri 3/17,@SA,W126-120 OT,21.0,5-8,62.5,0-0,0.0,2-2,100.0,6.0,3.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Wed 3/15,@MIA,L138-119,23.0,4-6,66.7,0-0,0.0,0-0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Mon 3/13,@DAL,W104-88,25.0,3-4,75.0,0-0,0.0,2-3,66.7,5.0,2.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sat 3/11,vsDAL,W112-108,28.0,6-8,75.0,0-0,0.0,0-0,0.0,8.0,2.0,1.0,1.0,1.0,3.0,12.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Thu 3/9,vsGS,W131-110,22.0,5-7,71.4,0-0,0.0,0-0,0.0,8.0,2.0,0.0,1.0,4.0,2.0,10.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Tue 3/7,@LAL,L112-103,32.0,5-9,55.6,0-0,0.0,1-2,50.0,10.0,2.0,1.0,4.0,2.0,0.0,11.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sun 3/5,@LAC,L135-129,34.0,6-14,42.9,0-2,0.0,1-3,33.3,5.0,3.0,0.0,2.0,2.0,3.0,13.0,0.0,2.0
Xavier Tillman,2022-23,Regular,Fri 3/3,@DEN,L113-97,30.0,4-8,50.0,1-1,100.0,2-3,66.7,10.0,4.0,0.0,0.0,4.0,0.0,11.0,1.0,1.0
Xavier Tillman,2022-23,Regular,Wed 3/1,@HOU,W113-99,27.0,1-3,33.3,0-1,0.0,2-2,100.0,5.0,3.0,2.0,0.0,4.0,1.0,4.0,0.0,1.0
Xavier Tillman,2022-23,Regular,Tue 2/28,vsLAL,W121-109,33.0,9-17,52.9,0-1,0.0,0-0,0.0,11.0,2.0,1.0,2.0,2.0,1.0,18.0,0.0,1.0
Xavier Tillman,2022-23,Regular,Sat 2/25,vsDEN,W112-94,25.0,6-6,100.0,0-0,0.0,0-0,0.0,7.0,4.0,1.0,0.0,3.0,1.0,12.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Thu 2/23,@PHI,L110-105,32.0,2-6,33.3,0-0,0.0,4-6,66.7,12.0,2.0,1.0,2.0,5.0,1.0,8.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Wed 2/15,vsUTAH,W117-111,12.0,1-3,33.3,0-0,0.0,1-2,50.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Sun 2/12,@BOS,L119-109,24.0,3-3,100.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0
Xavier Tillman,2022-23,Regular,Fri 2/10,vsMIN,W128-107,25.0,4-6,66.7,0-0,0.0,1-3,33.3,6.0,3.0,0.0,2.0,3.0,1.0,9.0,0.0,0.0
