Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Zach Collins,2022-23,Regular,Thu 4/6,vsPOR,W129-127,30.0,9-14,64.3,1-3,33.3,2-3,66.7,10.0,4.0,3.0,0.0,5.0,2.0,21.0,1.0,3.0
Zach Collins,2022-23,Regular,Sun 4/2,@SAC,W142-134 OT,23.0,6-13,46.2,2-4,50.0,2-2,100.0,6.0,3.0,1.0,0.0,6.0,3.0,16.0,2.0,4.0
Zach Collins,2022-23,Regular,Wed 3/29,vsUTAH,L128-117,31.0,6-14,42.9,0-4,0.0,0-0,0.0,8.0,5.0,2.0,3.0,1.0,2.0,12.0,0.0,4.0
Zach Collins,2022-23,Regular,Sun 3/26,@BOS,L137-93,31.0,8-18,44.4,2-5,40.0,3-5,60.0,7.0,4.0,0.0,0.0,0.0,4.0,21.0,2.0,5.0
Zach Collins,2022-23,Regular,Wed 3/22,@MIL,L130-94,23.0,5-9,55.6,1-4,25.0,1-3,33.3,7.0,1.0,1.0,1.0,4.0,1.0,12.0,1.0,4.0
Zach Collins,2022-23,Regular,Sun 3/19,vsATL,W126-118,31.0,8-13,61.5,1-3,33.3,2-2,100.0,8.0,3.0,2.0,3.0,4.0,4.0,19.0,1.0,3.0
Zach Collins,2022-23,Regular,Fri 3/17,vsMEM,L126-120 OT,36.0,7-16,43.8,4-10,40.0,6-6,100.0,8.0,4.0,1.0,0.0,5.0,6.0,24.0,4.0,10.0
Zach Collins,2022-23,Regular,Tue 3/14,vsORL,W132-114,28.0,10-14,71.4,3-3,100.0,2-2,100.0,6.0,5.0,3.0,1.0,0.0,0.0,25.0,3.0,3.0
Zach Collins,2022-23,Regular,Sun 3/12,vsOKC,L102-90,30.0,7-14,50.0,4-5,80.0,5-5,100.0,11.0,4.0,0.0,0.0,4.0,4.0,23.0,4.0,5.0
Zach Collins,2022-23,Regular,Fri 3/10,vsDEN,W128-120,21.0,4-9,44.4,1-5,20.0,1-2,50.0,9.0,3.0,0.0,1.0,2.0,3.0,10.0,1.0,5.0
Zach Collins,2022-23,Regular,Sat 3/4,vsHOU,L122-110,30.0,6-14,42.9,2-4,50.0,0-0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,14.0,2.0,4.0
Zach Collins,2022-23,Regular,Thu 3/2,vsIND,W110-99,31.0,7-11,63.6,2-4,50.0,2-2,100.0,6.0,5.0,2.0,0.0,3.0,3.0,18.0,2.0,4.0
Zach Collins,2022-23,Regular,Tue 2/28,@UTAH,W102-94,27.0,2-15,13.3,0-4,0.0,3-4,75.0,6.0,5.0,1.0,3.0,2.0,2.0,7.0,0.0,4.0
Zach Collins,2022-23,Regular,Sat 2/25,@UTAH,L118-102,26.0,6-12,50.0,3-6,50.0,0-0,0.0,5.0,2.0,2.0,1.0,6.0,2.0,15.0,3.0,6.0
Zach Collins,2022-23,Regular,Thu 2/23,@DAL,L142-116,27.0,6-15,40.0,0-2,0.0,1-1,100.0,12.0,3.0,0.0,1.0,3.0,0.0,13.0,0.0,2.0
Zach Collins,2022-23,Regular,Wed 2/15,@CHA,L120-110,32.0,5-11,45.5,2-5,40.0,2-2,100.0,12.0,5.0,0.0,1.0,5.0,2.0,14.0,2.0,5.0
Zach Collins,2022-23,Regular,Mon 2/13,@CLE,L117-109,32.0,4-7,57.1,1-2,50.0,2-2,100.0,5.0,6.0,0.0,3.0,2.0,2.0,11.0,1.0,2.0
Zach Collins,2022-23,Regular,Sat 2/11,@ATL,L125-106,23.0,4-10,40.0,1-3,33.3,0-0,0.0,5.0,4.0,1.0,1.0,3.0,5.0,9.0,1.0,3.0
Zach Collins,2022-23,Regular,Fri 2/10,@DET,L138-131 2OT,35.0,11-16,68.8,1-3,33.3,6-9,66.7,11.0,3.0,0.0,0.0,6.0,0.0,29.0,1.0,3.0
Zach Collins,2022-23,Regular,Wed 2/8,@TOR,L112-98,20.0,3-4,75.0,1-1,100.0,0-0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0
Zach Collins,2022-23,Regular,Mon 2/6,@CHI,L128-104,13.0,3-8,37.5,0-2,0.0,2-2,100.0,2.0,2.0,0.0,0.0,3.0,3.0,8.0,0.0,2.0
Zach Collins,2022-23,Regular,Fri 2/3,vsPHI,L137-125,17.0,2-6,33.3,0-2,0.0,1-2,50.0,7.0,3.0,0.0,0.0,4.0,2.0,5.0,0.0,2.0
Zach Collins,2022-23,Regular,Wed 2/1,vsSAC,L119-109,19.0,7-9,77.8,0-1,0.0,0-0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,14.0,0.0,1.0
Zach Collins,2022-23,Regular,Mon 1/30,vsWSH,L127-106,22.0,6-10,60.0,1-2,50.0,3-4,75.0,11.0,0.0,2.0,0.0,2.0,1.0,16.0,1.0,2.0
Zach Collins,2022-23,Regular,Sat 1/28,vsPHX,L128-118 OT,20.0,1-4,25.0,0-0,0.0,1-2,50.0,6.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
Zach Collins,2022-23,Regular,Thu 1/26,@LAC,L138-100,19.0,3-8,37.5,0-1,0.0,1-1,100.0,10.0,2.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0
Zach Collins,2022-23,Regular,Wed 1/25,@LAL,L113-104,24.0,6-10,60.0,0-2,0.0,4-4,100.0,7.0,2.0,0.0,2.0,2.0,2.0,16.0,0.0,2.0
Zach Collins,2022-23,Regular,Mon 1/23,@POR,L147-127,22.0,4-8,50.0,1-1,100.0,2-2,100.0,3.0,3.0,0.0,0.0,2.0,3.0,11.0,1.0,1.0
Zach Collins,2022-23,Regular,Fri 1/20,vsLAC,L131-126,24.0,7-9,77.8,1-2,50.0,2-2,100.0,2.0,4.0,0.0,0.0,2.0,0.0,17.0,1.0,2.0
Zach Collins,2022-23,Regular,Tue 1/17,vsBKN,W106-98,24.0,2-5,40.0,0-1,0.0,2-2,100.0,7.0,2.0,0.0,1.0,3.0,4.0,6.0,0.0,1.0
Zach Collins,2022-23,Regular,Sun 1/15,vsSAC,L132-119,16.0,2-5,40.0,1-1,100.0,2-4,50.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,1.0
Zach Collins,2022-23,Regular,Fri 1/13,vsGS,L144-113,12.0,1-7,14.3,0-0,0.0,0-0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
Zach Collins,2022-23,Regular,Wed 1/11,@MEM,L135-129,22.0,6-12,50.0,1-3,33.3,1-1,100.0,12.0,4.0,1.0,0.0,3.0,1.0,14.0,1.0,3.0
Zach Collins,2022-23,Regular,Mon 1/9,@MEM,L121-113,16.0,4-9,44.4,1-3,33.3,0-0,0.0,6.0,2.0,0.0,2.0,4.0,2.0,9.0,1.0,3.0
Zach Collins,2022-23,Regular,Sat 1/7,vsBOS,L121-116,34.0,8-13,61.5,0-2,0.0,2-3,66.7,12.0,5.0,0.0,0.0,1.0,2.0,18.0,0.0,2.0
Zach Collins,2022-23,Regular,Fri 1/6,vsDET,W121-109,16.0,2-5,40.0,0-0,0.0,5-5,100.0,4.0,2.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0
Zach Collins,2022-23,Regular,Wed 1/4,@NY,L117-114,21.0,6-6,100.0,2-2,100.0,2-4,50.0,3.0,3.0,0.0,0.0,3.0,0.0,16.0,2.0,2.0
Zach Collins,2022-23,Regular,Mon 1/2,@BKN,L139-103,19.0,4-10,40.0,0-1,0.0,2-3,66.7,2.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,1.0
Zach Collins,2022-23,Regular,Sat 12/31,vsDAL,L126-125,18.0,5-6,83.3,1-1,100.0,2-2,100.0,5.0,2.0,0.0,0.0,5.0,2.0,13.0,1.0,1.0
Zach Collins,2022-23,Regular,Thu 12/29,vsNY,W122-115,18.0,1-1,100.0,0-0,0.0,3-6,50.0,6.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0
Zach Collins,2022-23,Regular,Tue 12/27,@OKC,L130-114,19.0,4-7,57.1,1-1,100.0,2-2,100.0,8.0,0.0,1.0,0.0,2.0,0.0,11.0,1.0,1.0
Zach Collins,2022-23,Regular,Mon 12/26,vsUTAH,W126-122,23.0,4-4,100.0,0-0,0.0,2-6,33.3,7.0,0.0,1.0,0.0,6.0,2.0,10.0,0.0,0.0
Zach Collins,2022-23,Regular,Fri 12/23,@ORL,L133-113,22.0,4-7,57.1,1-1,100.0,0-1,0.0,5.0,1.0,1.0,0.0,2.0,1.0,9.0,1.0,1.0
Zach Collins,2022-23,Regular,Thu 12/22,@NO,L126-117,18.0,2-6,33.3,0-0,0.0,2-2,100.0,2.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0
Zach Collins,2022-23,Regular,Mon 12/19,@HOU,W124-105,23.0,2-4,50.0,0-0,0.0,6-6,100.0,7.0,3.0,1.0,0.0,3.0,4.0,10.0,0.0,0.0
Zach Collins,2022-23,Regular,Sat 12/17,vsMIA,L111-101,24.0,4-5,80.0,1-1,100.0,4-4,100.0,6.0,5.0,2.0,0.0,3.0,5.0,13.0,1.0,1.0
Zach Collins,2022-23,Regular,Mon 12/12,vsCLE,W112-111,28.0,4-7,57.1,0-0,0.0,1-2,50.0,10.0,5.0,0.0,0.0,6.0,2.0,9.0,0.0,0.0
Zach Collins,2022-23,Regular,Sat 12/10,@MIA,W115-111,30.0,6-7,85.7,1-1,100.0,3-5,60.0,8.0,2.0,1.0,0.0,6.0,4.0,16.0,1.0,1.0
Zach Collins,2022-23,Regular,Thu 12/8,vsHOU,W118-109,27.0,5-6,83.3,0-1,0.0,0-0,0.0,5.0,3.0,1.0,1.0,5.0,5.0,10.0,0.0,1.0
Zach Collins,2022-23,Regular,Sun 12/4,vsPHX,L133-95,17.0,1-7,14.3,0-3,0.0,2-2,100.0,6.0,5.0,0.0,0.0,5.0,3.0,4.0,0.0,3.0
Zach Collins,2022-23,Regular,Fri 12/2,vsNO,L117-99,22.0,3-11,27.3,0-5,0.0,1-2,50.0,6.0,3.0,0.0,0.0,6.0,2.0,7.0,0.0,5.0
Zach Collins,2022-23,Regular,Wed 11/30,@OKC,L119-111,27.0,4-6,66.7,1-3,33.3,0-0,0.0,6.0,3.0,0.0,1.0,5.0,3.0,9.0,1.0,3.0
Zach Collins,2022-23,Regular,Sat 11/26,vsLAL,L143-138,19.0,4-6,66.7,2-3,66.7,2-2,100.0,8.0,2.0,2.0,1.0,3.0,1.0,12.0,2.0,3.0
Zach Collins,2022-23,Regular,Fri 11/25,vsLAL,L105-94,21.0,2-6,33.3,0-3,0.0,0-0,0.0,7.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,3.0
Zach Collins,2022-23,Regular,Fri 11/4,vsLAC,L113-106,21.0,4-7,57.1,1-2,50.0,0-0,0.0,7.0,2.0,1.0,1.0,2.0,3.0,9.0,1.0,2.0
Zach Collins,2022-23,Regular,Wed 11/2,vsTOR,L143-100,24.0,3-10,30.0,0-3,0.0,2-2,100.0,8.0,3.0,1.0,1.0,3.0,1.0,8.0,0.0,3.0
Zach Collins,2022-23,Regular,Sun 10/30,vsMIN,W107-98,23.0,4-8,50.0,1-2,50.0,0-1,0.0,6.0,2.0,1.0,1.0,5.0,2.0,9.0,1.0,2.0
Zach Collins,2022-23,Regular,Fri 10/28,vsCHI,W129-124,18.0,7-9,77.8,2-3,66.7,0-1,0.0,6.0,3.0,1.0,0.0,3.0,2.0,16.0,2.0,3.0
Zach Collins,2022-23,Regular,Wed 10/26,@MIN,L134-122,17.0,2-4,50.0,1-2,50.0,2-2,100.0,4.0,5.0,0.0,1.0,3.0,3.0,7.0,1.0,2.0
Zach Collins,2022-23,Regular,Mon 10/24,@MIN,W115-106,17.0,5-9,55.6,0-2,0.0,1-1,100.0,4.0,5.0,0.0,0.0,4.0,1.0,11.0,0.0,2.0
Zach Collins,2022-23,Regular,Sat 10/22,@PHI,W114-105,8.0,1-1,100.0,1-1,100.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
Zach Collins,2022-23,Regular,Fri 10/21,@IND,W137-134,18.0,5-8,62.5,1-1,100.0,0-0,0.0,4.0,3.0,3.0,1.0,3.0,2.0,11.0,1.0,1.0
Zach Collins,2022-23,Regular,Wed 10/19,vsCHA,L129-102,12.0,0-3,0.0,0-2,0.0,1-2,50.0,0.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,2.0
Zach Collins,2022-23,Preseason,Sun 10/9,vsNO,L111-97,20.0,3-9,33.3,0-4,0.0,1-2,50.0,3.0,3.0,0.0,2.0,4.0,3.0,7.0,0.0,4.0
Zach Collins,2022-23,Preseason,Thu 10/6,vsORL,L102-99,17.0,2-6,33.3,0-0,0.0,5-7,71.4,5.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0
Zach Collins,2022-23,Preseason,Sun 10/2,@HOU,L134-96,20.0,4-10,40.0,2-4,50.0,1-2,50.0,3.0,4.0,2.0,0.0,5.0,3.0,11.0,2.0,4.0
