Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Zeke Nnaji,2022-23,Postseason,Thu 5/11,@PHX,W125-100,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeke Nnaji,2022-23,Postseason,Tue 5/9,vsPHX,W118-102,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeke Nnaji,2022-23,Postseason,Sat 4/29,vsPHX,W125-107,3.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Zeke Nnaji,2022-23,Postseason,Sun 4/16,vsMIN,W109-80,4.0,2-2,100.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0
Zeke Nnaji,2022-23,Regular,Sun 4/9,vsSAC,W109-95,26.0,8-16,50.0,2-9,22.2,0-2,0.0,7.0,1.0,0.0,1.0,3.0,4.0,18.0,2.0,9.0
Zeke Nnaji,2022-23,Regular,Sat 4/8,@UTAH,L118-114,12.0,0-3,0.0,0-2,0.0,1-2,50.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0
Zeke Nnaji,2022-23,Regular,Thu 4/6,@PHX,L119-115,17.0,3-5,60.0,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,7.0,1.0,2.0
Zeke Nnaji,2022-23,Regular,Fri 3/31,@PHX,L100-93,23.0,4-8,50.0,1-3,33.3,0-0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,9.0,1.0,3.0
Zeke Nnaji,2022-23,Regular,Thu 3/30,vsNO,L107-88,17.0,1-2,50.0,0-1,0.0,0-0,0.0,6.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0
Zeke Nnaji,2022-23,Regular,Mon 3/27,vsPHI,W116-111,13.0,3-5,60.0,0-2,0.0,0-0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0
Zeke Nnaji,2022-23,Regular,Sat 3/25,vsMIL,W129-106,13.0,2-3,66.7,0-1,0.0,1-2,50.0,6.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0
Zeke Nnaji,2022-23,Regular,Wed 3/22,@WSH,W118-104,12.0,0-0,0.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Zeke Nnaji,2022-23,Regular,Sun 3/19,@BKN,W108-102,12.0,2-2,100.0,0-0,0.0,0-0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0
