Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Zion Williamson,2022-23,Regular,Mon 1/2,@PHI,L120-111,28.0,10-12,83.3,0-0,0.0,6-8,75.0,6.0,7.0,0.0,0.0,1.0,5.0,26.0,0.0,0.0
Zion Williamson,2022-23,Regular,Sat 12/31,@MEM,L116-101,28.0,6-16,37.5,0-0,0.0,8-10,80.0,9.0,1.0,0.0,0.0,3.0,9.0,20.0,0.0,0.0
Zion Williamson,2022-23,Regular,Fri 12/30,vsPHI,W127-116,31.0,13-19,68.4,0-0,0.0,10-16,62.5,5.0,2.0,0.0,0.0,3.0,3.0,36.0,0.0,0.0
Zion Williamson,2022-23,Regular,Wed 12/28,vsMIN,W119-118,34.0,14-21,66.7,1-1,100.0,14-19,73.7,3.0,5.0,1.0,1.0,3.0,4.0,43.0,1.0,1.0
Zion Williamson,2022-23,Regular,Mon 12/19,vsMIL,L128-119,40.0,7-16,43.8,0-0,0.0,4-8,50.0,7.0,7.0,0.0,3.0,1.0,5.0,18.0,0.0,0.0
Zion Williamson,2022-23,Regular,Sat 12/17,@PHX,L118-114,39.0,12-15,80.0,0-1,0.0,6-7,85.7,3.0,9.0,1.0,0.0,4.0,6.0,30.0,0.0,1.0
Zion Williamson,2022-23,Regular,Thu 12/15,@UTAH,L132-129 OT,42.0,12-24,50.0,1-1,100.0,6-8,75.0,8.0,8.0,2.0,0.0,2.0,3.0,31.0,1.0,1.0
Zion Williamson,2022-23,Regular,Tue 12/13,@UTAH,L121-100,26.0,10-16,62.5,0-2,0.0,6-10,60.0,9.0,5.0,0.0,2.0,3.0,4.0,26.0,0.0,2.0
Zion Williamson,2022-23,Regular,Sun 12/11,vsPHX,W129-124 OT,42.0,14-21,66.7,2-3,66.7,5-7,71.4,8.0,3.0,0.0,1.0,3.0,5.0,35.0,2.0,3.0
Zion Williamson,2022-23,Regular,Fri 12/9,vsPHX,W128-117,37.0,13-17,76.5,0-0,0.0,9-12,75.0,7.0,4.0,0.0,1.0,0.0,2.0,35.0,0.0,0.0
Zion Williamson,2022-23,Regular,Wed 12/7,vsDET,W104-98,33.0,11-16,68.8,0-0,0.0,7-11,63.6,10.0,5.0,1.0,1.0,1.0,4.0,29.0,0.0,0.0
Zion Williamson,2022-23,Regular,Sun 12/4,vsDEN,W121-106,36.0,9-17,52.9,0-0,0.0,7-11,63.6,6.0,4.0,1.0,1.0,0.0,4.0,25.0,0.0,0.0
Zion Williamson,2022-23,Regular,Fri 12/2,@SA,W117-99,34.0,9-14,64.3,0-2,0.0,12-13,92.3,15.0,8.0,1.0,2.0,1.0,3.0,30.0,0.0,2.0
Zion Williamson,2022-23,Regular,Wed 11/30,vsTOR,W126-108,37.0,12-15,80.0,0-0,0.0,9-12,75.0,10.0,5.0,2.0,4.0,2.0,4.0,33.0,0.0,0.0
Zion Williamson,2022-23,Regular,Mon 11/28,vsOKC,W105-101,35.0,11-18,61.1,0-1,0.0,1-1,100.0,8.0,8.0,3.0,1.0,3.0,4.0,23.0,0.0,1.0
Zion Williamson,2022-23,Regular,Fri 11/25,@MEM,L132-111,30.0,6-12,50.0,0-0,0.0,2-2,100.0,5.0,4.0,0.0,1.0,3.0,1.0,14.0,0.0,0.0
