Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
gordon hayward,2022-23,Regular,Sun 3/26,vsDAL,W110-104,32.0,8-14,57.1,1-1,100.0,5-5,100.0,6.0,4.0,0.0,0.0,2.0,3.0,22.0,1.0,1.0
gordon hayward,2022-23,Regular,Fri 3/24,@DAL,W117-109,32.0,9-15,60.0,1-2,50.0,6-6,100.0,3.0,9.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0
gordon hayward,2022-23,Regular,Thu 3/23,@NO,L115-96,31.0,5-12,41.7,1-5,20.0,1-2,50.0,3.0,6.0,0.0,1.0,0.0,2.0,12.0,1.0,5.0
gordon hayward,2022-23,Regular,Mon 3/20,vsIND,W115-109,34.0,8-15,53.3,1-4,25.0,5-6,83.3,3.0,5.0,0.0,1.0,1.0,1.0,22.0,1.0,4.0
gordon hayward,2022-23,Regular,Fri 3/17,vsPHI,L121-82,22.0,2-4,50.0,0-0,0.0,2-2,100.0,5.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0
gordon hayward,2022-23,Regular,Tue 3/14,vsCLE,L120-104,29.0,4-8,50.0,1-4,25.0,1-2,50.0,3.0,6.0,1.0,0.0,0.0,2.0,10.0,1.0,4.0
gordon hayward,2022-23,Regular,Sun 3/12,vsCLE,L114-108,33.0,6-10,60.0,1-2,50.0,3-5,60.0,4.0,6.0,0.0,1.0,3.0,1.0,16.0,1.0,2.0
gordon hayward,2022-23,Regular,Sat 3/11,vsUTAH,L119-111,35.0,4-10,40.0,1-5,20.0,2-2,100.0,3.0,4.0,0.0,1.0,0.0,3.0,11.0,1.0,5.0
gordon hayward,2022-23,Regular,Thu 3/9,@DET,W113-103,33.0,1-9,11.1,0-2,0.0,0-0,0.0,5.0,6.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0
gordon hayward,2022-23,Regular,Tue 3/7,@NY,W112-105,36.0,9-17,52.9,3-6,50.0,2-3,66.7,9.0,8.0,1.0,0.0,2.0,3.0,23.0,3.0,6.0
gordon hayward,2022-23,Regular,Sun 3/5,@BKN,L102-86,35.0,6-13,46.2,0-1,0.0,0-0,0.0,4.0,3.0,1.0,0.0,3.0,1.0,12.0,0.0,1.0
gordon hayward,2022-23,Regular,Fri 3/3,vsORL,L117-106,34.0,7-12,58.3,1-1,100.0,2-2,100.0,1.0,7.0,0.0,1.0,3.0,5.0,17.0,1.0,1.0
gordon hayward,2022-23,Regular,Wed 3/1,vsPHX,L105-91,33.0,5-14,35.7,3-8,37.5,2-4,50.0,2.0,4.0,0.0,1.0,1.0,1.0,15.0,3.0,8.0
gordon hayward,2022-23,Regular,Mon 2/27,vsDET,W117-106,36.0,8-15,53.3,0-3,0.0,3-3,100.0,5.0,6.0,0.0,2.0,1.0,5.0,19.0,0.0,3.0
gordon hayward,2022-23,Regular,Sat 2/25,vsMIA,W108-103,30.0,8-14,57.1,1-2,50.0,4-5,80.0,3.0,2.0,0.0,1.0,5.0,2.0,21.0,1.0,2.0
gordon hayward,2022-23,Regular,Fri 2/24,@MIN,W121-113,32.0,10-18,55.6,2-3,66.7,5-6,83.3,13.0,5.0,1.0,2.0,2.0,2.0,27.0,2.0,3.0
gordon hayward,2022-23,Regular,Wed 2/15,vsSA,W120-110,30.0,6-10,60.0,0-0,0.0,4-7,57.1,5.0,3.0,0.0,1.0,3.0,3.0,16.0,0.0,0.0
gordon hayward,2022-23,Regular,Mon 2/13,vsATL,W144-138,34.0,9-12,75.0,4-5,80.0,4-4,100.0,5.0,8.0,0.0,2.0,3.0,1.0,26.0,4.0,5.0
gordon hayward,2022-23,Regular,Sat 2/11,vsDEN,L119-105,36.0,9-18,50.0,1-4,25.0,2-2,100.0,2.0,3.0,0.0,2.0,0.0,2.0,21.0,1.0,4.0
gordon hayward,2022-23,Regular,Fri 2/10,@BOS,L127-116,30.0,4-8,50.0,0-0,0.0,0-0,0.0,2.0,6.0,0.0,2.0,2.0,0.0,8.0,0.0,0.0
gordon hayward,2022-23,Regular,Wed 2/8,@WSH,L118-104,35.0,5-10,50.0,0-2,0.0,5-5,100.0,3.0,2.0,0.0,1.0,1.0,0.0,15.0,0.0,2.0
gordon hayward,2022-23,Regular,Sun 2/5,vsORL,L119-113,31.0,2-9,22.2,0-2,0.0,2-2,100.0,2.0,2.0,0.0,0.0,5.0,2.0,6.0,0.0,2.0
gordon hayward,2022-23,Regular,Fri 2/3,@DET,L118-112,26.0,5-6,83.3,1-1,100.0,1-2,50.0,4.0,2.0,0.0,1.0,1.0,4.0,12.0,1.0,1.0
gordon hayward,2022-23,Regular,Thu 2/2,@CHI,L114-98,25.0,2-10,20.0,1-6,16.7,4-4,100.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,6.0
gordon hayward,2022-23,Regular,Tue 1/31,@MIL,L124-115,27.0,6-12,50.0,1-4,25.0,3-3,100.0,7.0,3.0,0.0,0.0,0.0,0.0,16.0,1.0,4.0
gordon hayward,2022-23,Regular,Sun 1/29,vsMIA,W122-117,26.0,7-7,100.0,3-3,100.0,3-3,100.0,5.0,2.0,0.0,0.0,0.0,0.0,20.0,3.0,3.0
gordon hayward,2022-23,Regular,Thu 1/26,vsCHI,W111-96,25.0,6-10,60.0,0-3,0.0,5-5,100.0,1.0,3.0,1.0,2.0,2.0,2.0,17.0,0.0,3.0
gordon hayward,2022-23,Regular,Mon 1/23,@UTAH,L120-102,24.0,4-7,57.1,0-0,0.0,3-4,75.0,2.0,1.0,0.0,1.0,1.0,4.0,11.0,0.0,0.0
gordon hayward,2022-23,Regular,Sat 1/21,@ATL,W122-118,25.0,4-9,44.4,0-1,0.0,1-1,100.0,5.0,5.0,2.0,1.0,2.0,1.0,9.0,0.0,1.0
gordon hayward,2022-23,Regular,Mon 1/2,vsLAL,L121-115,26.0,2-9,22.2,1-2,50.0,3-4,75.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0
gordon hayward,2022-23,Regular,Sat 12/31,vsBKN,L123-106,29.0,1-7,14.3,0-4,0.0,0-0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0
gordon hayward,2022-23,Regular,Thu 12/29,vsOKC,W121-113,36.0,4-10,40.0,0-3,0.0,2-3,66.7,6.0,6.0,0.0,3.0,1.0,2.0,10.0,0.0,3.0
