Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
ish smith,2022-23,Postseason,Thu 5/11,@PHX,W125-100,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ish smith,2022-23,Postseason,Tue 5/9,vsPHX,W118-102,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Postseason,Sat 4/29,vsPHX,W125-107,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Postseason,Sun 4/16,vsMIN,W109-80,4.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Sun 4/9,vsSAC,W109-95,23.0,0-3,0.0,0-3,0.0,0-0,0.0,2.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0
ish smith,2022-23,Regular,Sat 4/8,@UTAH,L118-114,7.0,2-4,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
ish smith,2022-23,Regular,Thu 4/6,@PHX,L119-115,23.0,5-12,41.7,0-1,0.0,1-2,50.0,3.0,6.0,0.0,1.0,1.0,1.0,11.0,0.0,1.0
ish smith,2022-23,Regular,Fri 3/31,@PHX,L100-93,15.0,1-10,10.0,0-2,0.0,0-0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0
ish smith,2022-23,Regular,Thu 3/30,vsNO,L107-88,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Sat 3/25,vsMIL,W129-106,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Wed 3/22,@WSH,W118-104,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Thu 3/16,@DET,W119-100,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Tue 3/14,@TOR,L125-110,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ish smith,2022-23,Regular,Wed 3/8,vsCHI,L117-96,4.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
