Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
james bouknight,2022-23,Regular,Sun 4/9,@CLE,W106-95,27.0,4-12,33.3,2-8,25.0,2-3,66.7,2.0,0.0,0.0,0.0,3.0,1.0,12.0,2.0,8.0
james bouknight,2022-23,Regular,Fri 4/7,vsHOU,L112-109,26.0,3-10,30.0,0-5,0.0,0-1,0.0,3.0,3.0,0.0,0.0,5.0,4.0,6.0,0.0,5.0
james bouknight,2022-23,Regular,Tue 4/4,vsTOR,L120-100,22.0,3-9,33.3,2-6,33.3,0-0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,6.0
james bouknight,2022-23,Regular,Sun 4/2,vsTOR,L128-108,25.0,7-11,63.6,5-7,71.4,2-2,100.0,2.0,1.0,0.0,0.0,1.0,3.0,21.0,5.0,7.0
james bouknight,2022-23,Regular,Fri 3/31,vsCHI,L121-91,31.0,8-16,50.0,6-11,54.5,0-0,0.0,6.0,4.0,0.0,0.0,2.0,2.0,22.0,6.0,11.0
james bouknight,2022-23,Regular,Tue 3/28,@OKC,W137-134,19.0,2-8,25.0,1-5,20.0,1-2,50.0,4.0,5.0,0.0,0.0,4.0,2.0,6.0,1.0,5.0
james bouknight,2022-23,Regular,Sun 3/26,vsDAL,W110-104,10.0,2-5,40.0,1-3,33.3,0-0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,3.0
james bouknight,2022-23,Regular,Fri 3/24,@DAL,W117-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
james bouknight,2022-23,Regular,Tue 1/24,@PHX,L128-97,6.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
james bouknight,2022-23,Regular,Wed 1/4,vsMEM,L131-107,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
