Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
julius randle,2022-23,Postseason,Fri 5/12,@MIA,L96-92,36.0,3-14,21.4,1-7,14.3,8-9,88.9,11.0,3.0,2.0,0.0,2.0,3.0,15.0,1.0,7.0
julius randle,2022-23,Postseason,Wed 5/10,vsMIA,W112-103,36.0,7-13,53.8,4-7,57.1,6-10,60.0,5.0,5.0,0.0,1.0,1.0,4.0,24.0,4.0,7.0
julius randle,2022-23,Postseason,Mon 5/8,@MIA,L109-101,39.0,8-13,61.5,1-4,25.0,3-5,60.0,9.0,3.0,0.0,0.0,6.0,6.0,20.0,1.0,4.0
julius randle,2022-23,Postseason,Sat 5/6,@MIA,L105-86,38.0,4-15,26.7,0-5,0.0,2-5,40.0,14.0,2.0,0.0,0.0,4.0,4.0,10.0,0.0,5.0
julius randle,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,38.0,8-18,44.4,3-9,33.3,6-6,100.0,12.0,8.0,0.0,0.0,1.0,3.0,25.0,3.0,9.0
julius randle,2022-23,Postseason,Wed 4/26,@CLE,W106-95,16.0,4-9,44.4,0-3,0.0,5-6,83.3,4.0,6.0,0.0,0.0,1.0,1.0,13.0,0.0,3.0
julius randle,2022-23,Postseason,Sun 4/23,vsCLE,W102-93,27.0,3-10,30.0,0-4,0.0,1-3,33.3,2.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,4.0
julius randle,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,33.0,3-15,20.0,2-10,20.0,3-4,75.0,8.0,3.0,0.0,1.0,2.0,2.0,11.0,2.0,10.0
julius randle,2022-23,Postseason,Tue 4/18,@CLE,L107-90,33.0,8-20,40.0,3-7,42.9,3-3,100.0,8.0,1.0,0.0,1.0,2.0,6.0,22.0,3.0,7.0
julius randle,2022-23,Postseason,Sat 4/15,@CLE,W101-97,34.0,7-20,35.0,3-10,30.0,2-4,50.0,10.0,4.0,0.0,2.0,4.0,5.0,19.0,3.0,10.0
julius randle,2022-23,Regular,Wed 3/29,vsMIA,W101-92,15.0,1-5,20.0,0-2,0.0,1-2,50.0,5.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0
julius randle,2022-23,Regular,Mon 3/27,vsHOU,W137-115,28.0,10-19,52.6,3-8,37.5,3-3,100.0,4.0,3.0,0.0,1.0,0.0,1.0,26.0,3.0,8.0
julius randle,2022-23,Regular,Thu 3/23,@ORL,L111-106,36.0,7-20,35.0,2-9,22.2,7-10,70.0,9.0,4.0,2.0,0.0,4.0,1.0,23.0,2.0,9.0
julius randle,2022-23,Regular,Wed 3/22,@MIA,L127-120,36.0,7-16,43.8,1-5,20.0,0-1,0.0,6.0,9.0,0.0,1.0,5.0,4.0,15.0,1.0,5.0
julius randle,2022-23,Regular,Mon 3/20,vsMIN,L140-134,37.0,19-29,65.5,8-14,57.1,11-13,84.6,4.0,1.0,0.0,0.0,4.0,4.0,57.0,8.0,14.0
julius randle,2022-23,Regular,Sat 3/18,vsDEN,W116-110,36.0,6-15,40.0,1-6,16.7,7-7,100.0,7.0,4.0,0.0,1.0,2.0,3.0,20.0,1.0,6.0
julius randle,2022-23,Regular,Tue 3/14,@POR,W123-107,34.0,8-20,40.0,0-5,0.0,8-10,80.0,10.0,4.0,0.0,0.0,3.0,2.0,24.0,0.0,5.0
julius randle,2022-23,Regular,Sun 3/12,@LAL,W112-108,36.0,11-24,45.8,3-12,25.0,8-11,72.7,8.0,5.0,0.0,1.0,2.0,3.0,33.0,3.0,12.0
julius randle,2022-23,Regular,Sat 3/11,@LAC,L106-95,35.0,5-24,20.8,3-10,30.0,6-8,75.0,8.0,3.0,0.0,0.0,5.0,2.0,19.0,3.0,10.0
julius randle,2022-23,Regular,Thu 3/9,@SAC,L122-117,36.0,8-22,36.4,2-12,16.7,5-9,55.6,10.0,5.0,0.0,2.0,5.0,4.0,23.0,2.0,12.0
julius randle,2022-23,Regular,Tue 3/7,vsCHA,L112-105,35.0,5-17,29.4,2-9,22.2,4-6,66.7,8.0,3.0,0.0,0.0,4.0,2.0,16.0,2.0,9.0
julius randle,2022-23,Regular,Sun 3/5,@BOS,W131-129 2OT,47.0,11-22,50.0,5-13,38.5,4-4,100.0,9.0,4.0,0.0,1.0,5.0,7.0,31.0,5.0,13.0
