Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
mark williams,2022-23,Regular,Sun 4/9,@CLE,W106-95,30.0,9-10,90.0,0-0,0.0,4-6,66.7,10.0,0.0,2.0,1.0,3.0,2.0,22.0,0.0,0.0
mark williams,2022-23,Regular,Fri 4/7,vsHOU,L112-109,27.0,5-7,71.4,0-0,0.0,2-2,100.0,13.0,0.0,1.0,1.0,3.0,0.0,12.0,0.0,0.0
mark williams,2022-23,Regular,Sun 4/2,vsTOR,L128-108,27.0,7-15,46.7,0-0,0.0,1-1,100.0,12.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0
mark williams,2022-23,Regular,Fri 3/31,vsCHI,L121-91,35.0,3-6,50.0,0-0,0.0,0-0,0.0,8.0,0.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0
mark williams,2022-23,Regular,Sun 3/26,vsDAL,W110-104,32.0,5-9,55.6,0-0,0.0,5-7,71.4,16.0,1.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0
mark williams,2022-23,Regular,Fri 3/24,@DAL,W117-109,21.0,6-9,66.7,0-0,0.0,1-3,33.3,8.0,2.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0
mark williams,2022-23,Regular,Thu 3/9,@DET,W113-103,11.0,1-1,100.0,0-0,0.0,0-2,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
mark williams,2022-23,Regular,Tue 3/7,@NY,W112-105,28.0,3-4,75.0,0-0,0.0,1-4,25.0,3.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0
mark williams,2022-23,Regular,Sun 3/5,@BKN,L102-86,24.0,5-8,62.5,0-0,0.0,0-0,0.0,14.0,0.0,0.0,1.0,2.0,1.0,10.0,0.0,0.0
mark williams,2022-23,Regular,Fri 3/3,vsORL,L117-106,28.0,5-7,71.4,0-0,0.0,3-3,100.0,7.0,0.0,1.0,0.0,2.0,3.0,13.0,0.0,0.0
mark williams,2022-23,Regular,Wed 3/1,vsPHX,L105-91,28.0,4-10,40.0,0-0,0.0,3-4,75.0,10.0,2.0,1.0,1.0,4.0,1.0,11.0,0.0,0.0
mark williams,2022-23,Regular,Mon 2/27,vsDET,W117-106,30.0,7-10,70.0,0-0,0.0,1-2,50.0,11.0,3.0,1.0,0.0,4.0,2.0,15.0,0.0,0.0
mark williams,2022-23,Regular,Sat 2/25,vsMIA,W108-103,29.0,9-12,75.0,0-0,0.0,0-0,0.0,20.0,0.0,1.0,1.0,4.0,1.0,18.0,0.0,0.0
mark williams,2022-23,Regular,Fri 2/24,@MIN,W121-113,17.0,4-5,80.0,0-0,0.0,0-0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0
mark williams,2022-23,Regular,Wed 2/15,vsSA,W120-110,30.0,5-11,45.5,0-0,0.0,2-2,100.0,10.0,0.0,4.0,0.0,3.0,1.0,12.0,0.0,0.0
mark williams,2022-23,Regular,Mon 2/13,vsATL,W144-138,30.0,5-7,71.4,0-0,0.0,5-6,83.3,5.0,0.0,2.0,2.0,3.0,1.0,15.0,0.0,0.0
mark williams,2022-23,Regular,Sat 2/11,vsDEN,L119-105,21.0,3-5,60.0,0-0,0.0,0-2,0.0,5.0,0.0,2.0,1.0,4.0,0.0,6.0,0.0,0.0
mark williams,2022-23,Regular,Fri 2/10,@BOS,L127-116,31.0,4-7,57.1,0-0,0.0,3-4,75.0,12.0,2.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0
mark williams,2022-23,Regular,Wed 2/8,@WSH,L118-104,17.0,4-5,80.0,0-0,0.0,1-2,50.0,8.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0
mark williams,2022-23,Regular,Sun 2/5,vsORL,L119-113,17.0,3-3,100.0,0-0,0.0,0-0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,6.0,0.0,0.0
mark williams,2022-23,Regular,Fri 2/3,@DET,L118-112,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mark williams,2022-23,Regular,Thu 2/2,@CHI,L114-98,17.0,6-7,85.7,0-0,0.0,1-2,50.0,7.0,0.0,3.0,1.0,4.0,2.0,13.0,0.0,0.0
mark williams,2022-23,Regular,Tue 1/31,@MIL,L124-115,17.0,1-5,20.0,0-0,0.0,3-4,75.0,7.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0
mark williams,2022-23,Regular,Sun 1/29,vsMIA,W122-117,20.0,2-2,100.0,0-0,0.0,3-3,100.0,3.0,1.0,1.0,2.0,2.0,1.0,7.0,0.0,0.0
mark williams,2022-23,Regular,Thu 1/26,vsCHI,W111-96,18.0,5-5,100.0,0-0,0.0,0-0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0
mark williams,2022-23,Regular,Tue 1/24,@PHX,L128-97,6.0,2-4,50.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0
mark williams,2022-23,Regular,Mon 1/23,@UTAH,L120-102,18.0,5-7,71.4,0-0,0.0,1-2,50.0,3.0,0.0,3.0,2.0,3.0,1.0,11.0,0.0,0.0
mark williams,2022-23,Regular,Sat 1/21,@ATL,W122-118,19.0,3-5,60.0,0-0,0.0,2-3,66.7,5.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0
