Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
quentin grimes,2022-23,Postseason,Fri 5/12,@MIA,L96-92,32.0,1-6,16.7,1-6,16.7,0-0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0
quentin grimes,2022-23,Postseason,Wed 5/10,vsMIA,W112-103,48.0,3-8,37.5,2-6,33.3,0-0,0.0,4.0,5.0,2.0,2.0,3.0,4.0,8.0,2.0,6.0
quentin grimes,2022-23,Postseason,Mon 5/8,@MIA,L109-101,42.0,3-8,37.5,3-7,42.9,0-0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,9.0,3.0,7.0
quentin grimes,2022-23,Postseason,Sat 5/6,@MIA,L105-86,22.0,3-7,42.9,1-4,25.0,1-1,100.0,1.0,0.0,0.0,1.0,2.0,1.0,8.0,1.0,4.0
quentin grimes,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,26.0,1-3,33.3,0-2,0.0,1-1,100.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0
quentin grimes,2022-23,Postseason,Sun 4/30,vsMIA,L108-101,10.0,1-3,33.3,1-3,33.3,1-2,50.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,3.0
quentin grimes,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,13.0,1-5,20.0,0-3,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0
quentin grimes,2022-23,Postseason,Tue 4/18,@CLE,L107-90,22.0,0-2,0.0,0-2,0.0,4-5,80.0,3.0,2.0,0.0,3.0,1.0,2.0,4.0,0.0,2.0
quentin grimes,2022-23,Postseason,Sat 4/15,@CLE,W101-97,27.0,1-4,25.0,1-4,25.0,2-2,100.0,5.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,4.0
quentin grimes,2022-23,Regular,Sun 4/9,vsIND,L141-136,32.0,8-13,61.5,5-10,50.0,1-1,100.0,1.0,3.0,0.0,0.0,4.0,0.0,22.0,5.0,10.0
quentin grimes,2022-23,Regular,Fri 4/7,@NO,L113-105,33.0,5-11,45.5,4-9,44.4,0-0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,14.0,4.0,9.0
quentin grimes,2022-23,Regular,Wed 4/5,@IND,W138-129,43.0,14-23,60.9,5-13,38.5,3-4,75.0,6.0,5.0,0.0,3.0,2.0,1.0,36.0,5.0,13.0
quentin grimes,2022-23,Regular,Sun 4/2,vsWSH,W118-109,41.0,9-17,52.9,6-11,54.5,3-4,75.0,2.0,5.0,0.0,0.0,3.0,0.0,27.0,6.0,11.0
quentin grimes,2022-23,Regular,Fri 3/31,@CLE,W130-116,36.0,4-9,44.4,3-8,37.5,3-3,100.0,3.0,2.0,0.0,1.0,2.0,0.0,14.0,3.0,8.0
quentin grimes,2022-23,Regular,Wed 3/29,vsMIA,W101-92,36.0,8-14,57.1,5-10,50.0,2-3,66.7,8.0,4.0,0.0,1.0,4.0,2.0,23.0,5.0,10.0
quentin grimes,2022-23,Regular,Mon 3/27,vsHOU,W137-115,38.0,5-12,41.7,4-9,44.4,0-0,0.0,9.0,6.0,0.0,2.0,2.0,1.0,14.0,4.0,9.0
quentin grimes,2022-23,Regular,Thu 3/23,@ORL,L111-106,38.0,10-18,55.6,5-10,50.0,0-0,0.0,5.0,6.0,0.0,3.0,3.0,0.0,25.0,5.0,10.0
quentin grimes,2022-23,Regular,Wed 3/22,@MIA,L127-120,26.0,7-12,58.3,6-10,60.0,2-2,100.0,2.0,1.0,0.0,0.0,2.0,0.0,22.0,6.0,10.0
quentin grimes,2022-23,Regular,Mon 3/20,vsMIN,L140-134,21.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
