Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
terry rozier,2022-23,Regular,Thu 3/23,@NO,L115-96,10.0,2-4,50.0,1-3,33.3,0-0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,5.0,1.0,3.0
terry rozier,2022-23,Regular,Mon 3/20,vsIND,W115-109,37.0,7-19,36.8,2-6,33.3,7-7,100.0,1.0,9.0,0.0,2.0,1.0,2.0,23.0,2.0,6.0
terry rozier,2022-23,Regular,Fri 3/17,vsPHI,L121-82,31.0,6-18,33.3,2-11,18.2,0-0,0.0,2.0,4.0,0.0,3.0,2.0,1.0,14.0,2.0,11.0
terry rozier,2022-23,Regular,Tue 3/14,vsCLE,L120-104,35.0,10-20,50.0,2-7,28.6,0-0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,22.0,2.0,7.0
terry rozier,2022-23,Regular,Sun 3/12,vsCLE,L114-108,39.0,10-19,52.6,4-9,44.4,3-5,60.0,4.0,6.0,0.0,4.0,2.0,8.0,27.0,4.0,9.0
terry rozier,2022-23,Regular,Sat 3/11,vsUTAH,L119-111,34.0,10-23,43.5,2-8,25.0,0-0,0.0,6.0,8.0,1.0,2.0,4.0,0.0,22.0,2.0,8.0
terry rozier,2022-23,Regular,Thu 3/9,@DET,W113-103,35.0,9-22,40.9,1-7,14.3,2-5,40.0,6.0,9.0,2.0,2.0,5.0,0.0,21.0,1.0,7.0
terry rozier,2022-23,Regular,Tue 3/7,@NY,W112-105,38.0,10-22,45.5,2-7,28.6,3-3,100.0,5.0,7.0,0.0,0.0,3.0,0.0,25.0,2.0,7.0
terry rozier,2022-23,Regular,Sun 3/5,@BKN,L102-86,37.0,5-17,29.4,3-7,42.9,3-4,75.0,4.0,4.0,0.0,0.0,1.0,1.0,16.0,3.0,7.0
terry rozier,2022-23,Regular,Fri 3/3,vsORL,L117-106,37.0,7-16,43.8,4-8,50.0,4-4,100.0,2.0,6.0,0.0,2.0,0.0,6.0,22.0,4.0,8.0
terry rozier,2022-23,Regular,Wed 3/1,vsPHX,L105-91,38.0,7-18,38.9,3-9,33.3,3-7,42.9,6.0,5.0,0.0,0.0,1.0,6.0,20.0,3.0,9.0
terry rozier,2022-23,Regular,Mon 2/27,vsDET,W117-106,38.0,9-19,47.4,3-8,37.5,1-1,100.0,3.0,3.0,0.0,1.0,3.0,1.0,22.0,3.0,8.0
terry rozier,2022-23,Regular,Sat 2/25,vsMIA,W108-103,35.0,3-15,20.0,2-8,25.0,6-6,100.0,0.0,2.0,0.0,2.0,2.0,2.0,14.0,2.0,8.0
terry rozier,2022-23,Regular,Fri 2/24,@MIN,W121-113,33.0,2-10,20.0,0-5,0.0,5-6,83.3,3.0,5.0,0.0,2.0,2.0,1.0,9.0,0.0,5.0
terry rozier,2022-23,Regular,Mon 2/13,vsATL,W144-138,33.0,11-19,57.9,5-12,41.7,2-3,66.7,4.0,5.0,2.0,0.0,3.0,2.0,29.0,5.0,12.0
terry rozier,2022-23,Regular,Sat 2/11,vsDEN,L119-105,31.0,4-14,28.6,1-7,14.3,3-4,75.0,2.0,4.0,0.0,3.0,3.0,1.0,12.0,1.0,7.0
terry rozier,2022-23,Regular,Fri 2/10,@BOS,L127-116,36.0,9-20,45.0,3-8,37.5,6-9,66.7,1.0,3.0,0.0,3.0,3.0,0.0,27.0,3.0,8.0
